"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"54W-KOMAN0000066","KOMANG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","600.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-KOMAN-G30097","KOMANG3","COMMISSIONED","B12","Koman","150.00"
"54W-KOMAN0000066","KOMANG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","600.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-KOMAN-G4010H","KOMANG4","COMMISSIONED","B12","Koman","150.00"
"54W-KOMAN0000066","KOMANG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","600.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-KOMAN-G2008E","KOMANG2","COMMISSIONED","B12","Koman","150.00"
"54W-KOMAN0000066","KOMANG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","600.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-KOMAN-G1007L","KOMANG1","COMMISSIONED","B12","Koman","150.00"
"54W-FIERZ000001A","FIERZAG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","500.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-FIERZ-G2003I","FIERZAG2","COMMISSIONED","B12","Fierze","125.00"
"54W-FIERZ000001A","FIERZAG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","500.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-FIERZ-G1002P","FIERZAG1","COMMISSIONED","B12","Fierze","125.00"
"54W-FIERZ000001A","FIERZAG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","500.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-FIERZ-G40054","FIERZAG4","COMMISSIONED","B12","Fierze","125.00"
"54W-FIERZ000001A","FIERZAG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","500.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-FIERZ-G3004B","FIERZAG3","COMMISSIONED","B12","Fierze","125.00"
"54W-BANJA002308X","BANJAG","01.01.2017","Infinity","COMMISSIONED","B12","Devoll Hydro Power","72.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-BANJA-G2018R","AL-BANJAG2","COMMISSIONED","B12","Devoll","71.00"
"54W-VAUDEJES011D","VAUDEJG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","250.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-VADEJ-G2013I","VAUDEJG2","COMMISSIONED","B12","Vau i Dejes","50.00"
"54W-VAUDEJES011D","VAUDEJG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","250.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-VADEJ-G5016Y","VAUDEJG5","COMMISSIONED","B12","Vau i Dejes","50.00"
"54W-VAUDEJES011D","VAUDEJG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","250.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-VADEJ-G1012P","VAUDEJG1","COMMISSIONED","B12","Vau i Dejes","50.00"
"54W-VAUDEJES011D","VAUDEJG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","250.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-VADEJ-G40154","VAUDEJG4","COMMISSIONED","B12","Vau i Dejes","50.00"
"54W-VAUDEJES011D","VAUDEJG","01.01.2017","Infinity","COMMISSIONED","B12","Drin River Valley","250.00","10YAL-KESH-----5","10YAL-KESH-----5","","220.00","54W-VADEJ-G3014B","VAUDEJG3","COMMISSIONED","B12","Vau i Dejes","50.00"
