"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"36W-TE-TUZLA---K","TE_TUZLA","21.04.2016","Infinity","COMMISSIONED","B05","BA","730.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-TE-TUZLA5--X","TE_TUZLA_G5","COMMISSIONED","B05","BA","200.00"
"36W-TE-TUZLA---K","TE_TUZLA","21.04.2016","Infinity","COMMISSIONED","B05","BA","730.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-TE-TUZLA3--4","TE_TUZLA_G3","COMMISSIONED","B05","BA","100.00"
"36W-TE-TUZLA---K","TE_TUZLA","21.04.2016","Infinity","COMMISSIONED","B05","BA","730.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-TE-TUZLA6--T","TE_TUZLA_G6","COMMISSIONED","B05","BA","230.00"
"36W-TE-TUZLA---K","TE_TUZLA","21.04.2016","Infinity","COMMISSIONED","B05","BA","730.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-TE-TUZLA4--0","TE_TUZLA_G4","COMMISSIONED","B05","BA","200.00"
"36W-TE-UGLJEVIKN","TE_UGLJEVIK","21.04.2016","Infinity","COMMISSIONED","B05","BA","269.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","400.00","36W-TE-UGLJEV1-5","TE_UGLJEVIK_G1","COMMISSIONED","B05","BA","269.00"
"36W-TE-GACKO---O","TE_GACKO","21.04.2016","Infinity","COMMISSIONED","B05","BA","269.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","400.00","36W-TE-GACKO1--G","TE_GACKO_G1","COMMISSIONED","B05","BA","269.00"
"36W-HE-VISEGRADJ","HE_VISEGRAD","21.04.2016","Infinity","COMMISSIONED","B12","BA","315.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","400.00","36W-H-VISEG-G3-H","HE_VISEGRAD_G3","COMMISSIONED","B12","BA","105.00"
"36W-HE-VISEGRADJ","HE_VISEGRAD","21.04.2016","Infinity","COMMISSIONED","B12","BA","315.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","400.00","36W-H-VISEG-G2-K","HE_VISEGRAD_G2","COMMISSIONED","B12","BA","105.00"
"36W-HE-VISEGRADJ","HE_VISEGRAD","21.04.2016","Infinity","COMMISSIONED","B12","BA","315.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","400.00","36W-H-VISEG-G1-N","HE_VISEGRAD_G1","COMMISSIONED","B12","BA","105.00"
"36W-HE-DUBROV--K","HE_DUBROVNIK","21.04.2016","Infinity","COMMISSIONED","B12","BA","126.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-H-DUBR--G2-H","HE_DUBROVNIK_G2","COMMISSIONED","B12","BA","126.00"
"36W-TE-KAKANJ--S","TE_KAKANJ","21.04.2016","Infinity","COMMISSIONED","B05","BA","416.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-TE-KAKANJ7-4","TE_KAKANJ_G7","COMMISSIONED","B05","BA","216.00"
"36W-TE-KAKANJ--S","TE_KAKANJ","21.04.2016","Infinity","COMMISSIONED","B05","BA","416.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-TE-KAKANJ6-7","TE_KAKANJ_G6","COMMISSIONED","B05","BA","100.00"
"36W-TE-KAKANJ--S","TE_KAKANJ","21.04.2016","Infinity","COMMISSIONED","B05","BA","416.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-TE-KAKANJ5-A","TE_KAKANJ_G5","COMMISSIONED","B05","BA","100.00"
"36W-TE-STANARI-V","TE_STANARI","21.04.2016","Infinity","COMMISSIONED","B02","BA","300.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","400.00","36W-TE-STANAG1-F","TE_STANARI_G1","COMMISSIONED","B02","BA","300.00"
"36W-HECAPLJINA-1","HE_CAPLJINA","21.04.2016","Infinity","COMMISSIONED","B10","BA","440.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-H-CAPLJ-G1-K","HE_CAPLJINA_G1","COMMISSIONED","B10","BA","210.00"
"36W-HECAPLJINA-1","HE_CAPLJINA","21.04.2016","Infinity","COMMISSIONED","B10","BA","440.00","10YBA-JPCC-----D","10YBA-JPCC-----D","28.02.2017","220.00","36W-H-CAPLJ-G2-H","HE_CAPLJINA_G2","COMMISSIONED","B10","BA","220.00"
