"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"22WSAINT-000221B","SAINT-GHISLAIN STEG","01.10.2014","Infinity","COMMISSIONED","B04","Belgium","350.00","10YBE----------2","10YBE----------2","","150.00","22WSAINT-150221B","SAINT-GHISLAIN STEG","COMMISSIONED","B04","Belgium","350.00"
"22WDOELX40000793","DOEL 4","01.07.2016","Infinity","COMMISSIONED","B14","Belgium","1039.00","10YBE----------2","10YBE----------2","","380.00","22WDOELX41500793","DOEL 4","COMMISSIONED","B14","Belgium","1039.00"
"22WCOOXII000070C","COO II T","01.07.2018","Infinity","COMMISSIONED","B10","Belgium","690.00","10YBE----------2","10YBE----------2","03.08.2018","380.00","22WCOOX5X000061A","COO 5 T","COMMISSIONED","B10","Belgium","230.00"
"22WCOOXII000070C","COO II T","01.07.2018","Infinity","COMMISSIONED","B10","Belgium","690.00","10YBE----------2","10YBE----------2","03.08.2018","380.00","22WCOOX6X000064W","COO 6 T","COMMISSIONED","B10","Belgium","230.00"
"22WCOOXII000070C","COO II T","01.07.2018","Infinity","COMMISSIONED","B10","Belgium","690.00","10YBE----------2","10YBE----------2","03.08.2018","380.00","22WCOOX4X0000588","COO 4 T","COMMISSIONED","B10","Belgium","230.00"
"22WDROGEN0000855","DROGENBOS ST","01.01.2017","Infinity","CANCELLED","B04","Belgium","160.00","10YBE----------2","10YBE----------2","","150.00","22WDROGEN1500855","DROGENBOS ST","CANCELLED","B04","Belgium","160.00"
"22WDROGEN0000847","DROGENBOS GT2","01.01.2017","Infinity","CANCELLED","B04","Belgium","150.00","10YBE----------2","10YBE----------2","","150.00","22WDROGEN1500847","DROGENBOS GT2","CANCELLED","B04","Belgium","150.00"
"22WDROGEN0000863","DROGENBOS TGV","01.03.2017","Infinity","COMMISSIONED","B04","Belgium","465.00","10YBE----------2","10YBE----------2","","150.00","22WDROGEN0000855","DROGENBOS ST","COMMISSIONED","B04","Belgium","160.00"
"22WDROGEN0000863","DROGENBOS TGV","01.03.2017","Infinity","COMMISSIONED","B04","Belgium","465.00","10YBE----------2","10YBE----------2","","150.00","22WDROGEN0000847","DROGENBOS GT2","COMMISSIONED","B04","Belgium","150.00"
"22WDROGEN0000863","DROGENBOS TGV","01.03.2017","Infinity","COMMISSIONED","B04","Belgium","465.00","10YBE----------2","10YBE----------2","","150.00","22WDROGEN0000839","DROGENBOS GT1","COMMISSIONED","B04","Belgium","150.00"
