"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"11WD2KUET000160J","KW Kühtai","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","289.00","10YDE-EON------1","10Y1001A1001A82H","","220.00","11WD2KUM1000161L","Maschine 1","COMMISSIONED","B10","intra_zonal","144.50"
"11WD2KUET000160J","KW Kühtai","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","289.00","10YDE-EON------1","10Y1001A1001A82H","","220.00","11WD2KUM2000162B","Maschine 2","COMMISSIONED","B10","intra_zonal","144.50"
"11WD43VIWXHOILLM","Vorarlberger Illwerke AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","2142.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11WD43KOP2HM1--L","Kopswerk 2 M1","COMMISSIONED","B10","intra_zonal","175.00"
"11WD43VIWXHOILLM","Vorarlberger Illwerke AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","2142.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11WD43KOP2HM3--D","Kopswerk 2 M3","COMMISSIONED","B10","intra_zonal","175.00"
"11WD43VIWXHOILLM","Vorarlberger Illwerke AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","2142.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11W0-0000-0110-E","Obervermuntwerk 2 M2","COMMISSIONED","B10","intra_zonal","180.00"
"11WD43VIWXHOILLM","Vorarlberger Illwerke AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","2142.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11W0-0000-0109-S","Obervermuntwerk 2 M1","COMMISSIONED","B10","intra_zonal","180.00"
"11WD43VIWXHOILLM","Vorarlberger Illwerke AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","2142.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11WD43KOP2HM2--H","Kopswerk 2 M2","COMMISSIONED","B10","intra_zonal","175.00"
"11WD43VIWXHOILLM","Vorarlberger Illwerke AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","2142.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11WD43ROW2H----I","Rodund 2","COMMISSIONED","B10","intra_zonal","295.00"
"11WD7GARE5XHEKWQ","HERDECKE","01.01.2010","Infinity","COMMISSIONED","B04","Garenfeld","424.00","10YDE-RWENET---I","10Y1001A1001A63L","09.04.2015","110.00","11WD7HERD2G-H6-X","HERDECKE_H6","COMMISSIONED","B04","GARENFELD","424.00"
"11WD2ERZH0002682","PSW Erzhausen","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","220.00","10YDE-EON------1","10Y1001A1001A82H","","220.00","11WD2ERZH0002682","PSW Erzhausen Block 1","DECOMMISSIONED","B10","intra_zonal","220.00"
"11WD7FRIM2B-KW-M","Frimmersdorf","30.09.2017","Infinity","DECOMMISSIONED","B02","intra_zonal","580.00","10YDE-RWENET---I","10Y1001A1001A63L","","220.00","11WD7FRIM2B--P-G","Frimmersdorf P","DECOMMISSIONED","B02","intra_zonal","289.00"
"11WD7FRIM2B-KW-M","Frimmersdorf","30.09.2017","Infinity","DECOMMISSIONED","B02","intra_zonal","580.00","10YDE-RWENET---I","10Y1001A1001A63L","","220.00","11WD7FRIM2B--Q-D","Frimmersdorf Q","DECOMMISSIONED","B02","intra_zonal","291.00"
"11WD2OAMK000342L","Amrumbank West","01.10.2018","Infinity","COMMISSIONED","B18","intra_zonal","301.00","10YDE-EON------1","10Y1001A1001A82H","","400.00","11WD2OAM-0003416","Amrumbank West","DECOMMISSIONED","B18","intra_zonal","288.00"
"11WD2GRKW000295T","Grafenrheinfeld","28.06.2015","Infinity","DECOMMISSIONED","B14","intra_zonal","1275.00","10YDE-EON------1","10Y1001A1001A63L","","380.00","11WD2GRAF000047F","Grafenrheinfeld","DECOMMISSIONED","B14","intra_zonal","1275.00"
"11W0-0000-0029-P","Windpark Nordsee One","01.10.2018","Infinity","COMMISSIONED","B18","intra_zonal","332.00","10YDE-EON------1","10Y1001A1001A82H","","155.00","","","","","",""
"11WD7LUDW5GSUEDE","GuD Ludwigshafen Süd","01.10.2018","Infinity","COMMISSIONED","B04","intra_zonal","345.00","10YDE-RWENET---I","10Y1001A1001A82H","","110.00","11WD7LUDW5GSDG1Q","Block GT1","COMMISSIONED","B04","intra_zonal","178.00"
"11WD7LUDW5GSUEDE","GuD Ludwigshafen Süd","01.10.2018","Infinity","COMMISSIONED","B04","intra_zonal","345.00","10YDE-RWENET---I","10Y1001A1001A82H","","110.00","11WD7LUDW5GSDG2O","Block GT2","COMMISSIONED","B04","intra_zonal","167.00"
"11W0-0000-0095-9","Merkur Offshore GmbH","26.05.2020","Infinity","COMMISSIONED","B18","intra_zonal","396.00","10YDE-EON------1","10Y1001A1001A82H","29.05.2020","110.00","","","","","",""
"11W0-0000-0171-O","Deutsche Bucht","07.02.2020","Infinity","COMMISSIONED","B18","intra_zonal","252.00","10YDE-EON------1","10Y1001A1001A82H","","155.00","","","","","",""
"11WD4HLBR1CS---A","HKW Heilbronn","01.10.2018","Infinity","COMMISSIONED","B05","intra_zonal","778.00","10YDE-ENBW-----N","10Y1001A1001A82H","","380.00","11WD4HLBR1C7---4","HKW Heilbronn Block 7","COMMISSIONED","B05","intra_zonal","778.00"
"11WD4SWSW5HD4--R","Schluchseewerk AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","258.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11WD4WITZ5H-SD4C","Kraftwerk Witznau","COMMISSIONED","B10","intra_zonal","110.00"
"11WD4SWSW5HD4--R","Schluchseewerk AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","258.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11WD4WALD5H-SD47","Kraftwerk Waldshut","DECOMMISSIONED","B10","intra_zonal","88.00"
"11WD4SWSW5HD4--R","Schluchseewerk AG","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","258.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11WD4HAEU5H-SD4P","Kraftwerk Häusern","DECOMMISSIONED","B10","intra_zonal","60.00"
"11WD7BRAU5G-KW-N","GuD Dormagen","01.10.2018","Infinity","COMMISSIONED","B04","intra_zonal","562.00","10YDE-RWENET---I","10Y1001A1001A82H","","110.00","11WD7BRAU5G-GUDH","GuD Dormagen","COMMISSIONED","B04","intra_zonal","562.00"
"11WD7NORF5G--KWG","Kraftwerk Lausward","01.03.2019","Infinity","COMMISSIONED","B04","intra_zonal","845.00","10YDE-RWENET---I","10Y1001A1001A82H","03.04.2019","110.00","11WD7NORF5GGUDFA","Block F","COMMISSIONED","B04","intra_zonal","595.00"
"11WD7NORF5G--KWG","Kraftwerk Lausward","01.03.2019","Infinity","COMMISSIONED","B04","intra_zonal","845.00","10YDE-RWENET---I","10Y1001A1001A82H","03.04.2019","110.00","11WD7NORF5G-HTER","Block E","DECOMMISSIONED","B04","intra_zonal","300.00"
"11WD7NORF5G--KWG","Kraftwerk Lausward","01.03.2019","Infinity","COMMISSIONED","B04","intra_zonal","845.00","10YDE-RWENET---I","10Y1001A1001A82H","03.04.2019","110.00","11WD7NORF5GAGUDC","Block AGuD","COMMISSIONED","B04","intra_zonal","100.00"
"11WD2OWME000351X","OWP Meerwind Süd|Ost","14.08.2019","Infinity","COMMISSIONED","B18","intra_zonal","288.00","10YDE-EON------1","10Y1001A1001A82H","14.08.2019","380.00","","","","","",""
"11WD4KWRHF5-S--Z","KW Rheinfelden DE","01.10.2018","Infinity","COMMISSIONED","B11","cross_zonal","100.00","10YDE-ENBW-----N","10Y1001A1001A82H","","220.00","11WD4KWRHF5M1-4I","KW Rheinfelden DE","COMMISSIONED","B11","cross_zonal","100.00"
