"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"38W-MT--AREJ2--A","Kiisa AREJ 2","02.07.2014","02.07.2099","COMMISSIONED","B04","Kiisa","140.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","","","","","",""
"38W-MT--AREJ---M","Kiisa AREJ 1","13.09.2013","13.09.2099","COMMISSIONED","B04","Kiisa","110.00","10Y1001A1001A39I","10Y1001A1001A39I","","110.00","","","","","",""
"38W-MT--BEJ----R","Balti Elektrijaam","26.12.1963","Infinity","COMMISSIONED","B07","Narva","472.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--BEJG09-J","Balti Elektrijaam -TG9","COMMISSIONED","B07","Narva","140.00"
"38W-MT--BEJ----R","Balti Elektrijaam","26.12.1963","Infinity","COMMISSIONED","B07","Narva","472.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--BEJG1Q-1","Balti Elektrijaam -TG12","COMMISSIONED","B07","Narva","140.00"
"38W-MT--BEJ----R","Balti Elektrijaam","26.12.1963","Infinity","COMMISSIONED","B07","Narva","472.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--BEJG10-5","Balti Elektrijaam -TG10","COMMISSIONED","B07","Narva","140.00"
"38W-MT--BEJ----R","Balti Elektrijaam","26.12.1963","Infinity","COMMISSIONED","B07","Narva","472.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--BEJG11-2","Balti Elektrijaam -TG11","COMMISSIONED","B07","Narva","192.00"
"38W-MT--EEJ----3","Eesti Elektrijaam","30.06.1969","30.06.2099","COMMISSIONED","B07","Narva","1369.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--EEJG3--D","Eesti Elektrijaam- TG3","COMMISSIONED","B07","Narva","164.00"
"38W-MT--EEJ----3","Eesti Elektrijaam","30.06.1969","30.06.2099","COMMISSIONED","B07","Narva","1369.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--EEJG6--1","Eesti Elektrijaam- TG6","COMMISSIONED","B07","Narva","173.00"
"38W-MT--EEJ----3","Eesti Elektrijaam","30.06.1969","30.06.2099","COMMISSIONED","B07","Narva","1369.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--EEJG5--5","Eesti Elektrijaam- TG5","COMMISSIONED","B07","Narva","173.00"
"38W-MT--EEJ----3","Eesti Elektrijaam","30.06.1969","30.06.2099","COMMISSIONED","B07","Narva","1369.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--EEJG8--U","Eesti Elektrijaam- TG8","COMMISSIONED","B07","Narva","194.00"
"38W-MT--EEJ----3","Eesti Elektrijaam","30.06.1969","30.06.2099","COMMISSIONED","B07","Narva","1369.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--EEJG2--H","Eesti Elektrijaam- TG2","COMMISSIONED","B07","Narva","167.00"
"38W-MT--EEJ----3","Eesti Elektrijaam","30.06.1969","30.06.2099","COMMISSIONED","B07","Narva","1369.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--EEJG1--L","Eesti Elektrijaam- TG1","COMMISSIONED","B07","Narva","167.00"
"38W-MT--EEJ----3","Eesti Elektrijaam","30.06.1969","30.06.2099","COMMISSIONED","B07","Narva","1369.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--EEJG4--9","Eesti Elektrijaam- TG4","COMMISSIONED","B07","Narva","164.00"
"38W-MT--EEJ----3","Eesti Elektrijaam","30.06.1969","30.06.2099","COMMISSIONED","B07","Narva","1369.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-MT--EEJG7--Y","Eesti Elektrijaam- TG7","COMMISSIONED","B07","Narva","167.00"
"38W-MT--IRU--Q-T","IRU Elektrijaam","01.01.1980","01.01.2099","COMMISSIONED","B04","Iru","173.00","10Y1001A1001A39I","10Y1001A1001A39I","","110.00","","","","","",""
"38W-KTJ-AUVERE-Z","Auvere kondensatsioonielektrijaam","28.04.2015","Infinity","COMMISSIONED","B07","Auvere","270.00","10Y1001A1001A39I","10Y1001A1001A39I","","330.00","38W-KTJ-AUV-G1-8","Auvere EJ- G1","COMMISSIONED","B07","Auvere","270.00"
