"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"44W-K-LV-000000Q","Haapavesi","20.05.2013","Infinity","COMMISSIONED","B08","Haapavesi","150.00","10YFI-1--------U","10YFI-1--------U","","220.00","44W-T-LV-1000086","Haapavesi B1","COMMISSIONED","B08","Haapavesi","150.00"
"44W-00000000006L","Raahen Voima","01.05.2016","Infinity","COMMISSIONED","B20","Raahe","125.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-00000000006L","Raahen Voima","COMMISSIONED","B20","Raahe","125.00"
"44W-T-VV-000012X","Haapaniemi","01.01.2014","Infinity","COMMISSIONED","B08","Kuopio","145.00","10YFI-1--------U","10YFI-1--------U","","110.00","","","","","",""
"44W-T-VV-000005U","Ossauskoski","01.01.2013","Infinity","COMMISSIONED","B11","Tervola","138.00","10YFI-1--------U","10YFI-1--------U","","220.00","","","","","",""
"44W-T-VV-000004W","Isohaara","01.01.2013","Infinity","COMMISSIONED","B11","Keminmaa","128.00","10YFI-1--------U","10YFI-1--------U","","110.00","","","","","",""
"44W-00000000014M","Metsä Fibre Kemi","16.02.2021","Infinity","COMMISSIONED","B01","Kemi","250.00","10YFI-1--------U","10YFI-1--------U","","110.00","","","","","",""
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100010U","Raasakka G3","CANCELLED","B11","Iijoki","22.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100002T","Pahkakoski G1","CANCELLED","B11","Iijoki","21.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100003R","Pahkakoski G2","CANCELLED","B11","Iijoki","21.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100004P","Kierikki G1","CANCELLED","B11","Iijoki","19.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100005N","Kierikki G2","CANCELLED","B11","Iijoki","19.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100006L","Maalismaa G1","CANCELLED","B11","Iijoki","19.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100007J","Maalismaa G2","CANCELLED","B11","Iijoki","19.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100008H","Raasakka G1","CANCELLED","B11","Iijoki","22.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100009F","Raasakka G2","CANCELLED","B11","Iijoki","21.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100000X","Haapakoski G1","CANCELLED","B11","Iijoki","16.00"
"44W-T-VV-0000003","Iijoki","01.01.2014","Infinity","CANCELLED","B11","Iijoki","215.00","10YFI-1--------U","10YFI-1--------U","","110.00","44W-T-VV-100001V","Haapakoski G2","CANCELLED","B11","Iijoki","16.00"
"44W-T-VV-000003Y","Imatra","01.01.2014","Infinity","COMMISSIONED","B11","Imatra","192.00","10YFI-1--------U","10YFI-1--------U","","110.00","","","","","",""
