"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"29WAISMEGAL-V--J","MEGALOPOLI_V","03.06.2020","Infinity","COMMISSIONED","B04","SOUTH GREECE","811.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","05.06.2020","400.00","29WGU-MEGAL-V--5","MEGALOPOLI_V","COMMISSIONED","B04","SOUTH GREECE","811.00"
"29WAISAMYNT-II-1","AMYNDEO2","01.01.2014","Infinity","COMMISSIONED","B02","NORTH GREECE","273.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","29.12.2014","400.00","29WGU-AMYNT-II-O","AMYNDEO2","COMMISSIONED","B02","NORTH GREECE","273.00"
"29WAISLAVRIO-V-A","LAVRIO5","01.01.2014","Infinity","COMMISSIONED","B04","SOUTH GREECE","378.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","29.12.2014","400.00","29WGU-LAVRIO-V-X","LAVRIO5","COMMISSIONED","B04","SOUTH GREECE","378.00"
"29WYISKREMASTONE","KREMASTA","01.01.2014","Infinity","COMMISSIONED","B12","NORTH GREECE","437.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","29.12.2014","400.00","29WGU-KREMASTONG","KREMASTA","COMMISSIONED","B12","NORTH GREECE","437.00"
"29WAISAGDIMI-V-K","AG_DIMITRIOS5","01.01.2014","Infinity","COMMISSIONED","B02","NORTH GREECE","342.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","29.12.2014","400.00","29WGU-AGDIMI-V-6","AG_DIMITRIOS5","COMMISSIONED","B02","NORTH GREECE","342.00"
"29WYISPLATANOVRH","PLATANOVRYSI","01.01.2014","Infinity","COMMISSIONED","B12","NORTH GREECE","116.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","29.12.2014","400.00","29WGU-YISPLATAN1","PLATANOVRYSI","COMMISSIONED","B12","NORTH GREECE","116.00"
"29WHERON-CC----5","HERON_CC","01.01.2014","Infinity","COMMISSIONED","B04","SOUTH GREECE","422.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","29.12.2014","400.00","29WGU-HERON-CC-5","HERON_CC","COMMISSIONED","B04","SOUTH GREECE","422.00"
"29WTHESAVROS3--V","THESAVROS3","01.01.2014","Infinity","COMMISSIONED","B10","NORTH GREECE","128.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","13.09.2016","400.00","29WGU-THESAVRO37","THESAVROS3","COMMISSIONED","B10","NORTH GREECE","128.00"
"29WYISSTRATOU-IV","STRATOS1","01.01.2014","Infinity","COMMISSIONED","B12","NORTH GREECE","150.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","29.12.2014","400.00","29WGU-YISSTRAT1L","STRATOS1","COMMISSIONED","B12","NORTH GREECE","150.00"
"29WYISLADONAS--V","LADONAS","01.01.2014","Infinity","COMMISSIONED","B12","SOUTH GREECE","70.00","10YGR-HTSO-----Y","10YGR-HTSO-----Y","07.10.2016","400.00","29WGU-YISLADONAD","LADONAS","COMMISSIONED","B12","SOUTH GREECE","70.00"
