"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"41W1023600243EL3","Lietuvos elektrine","16.01.2016","Infinity","COMMISSIONED","B04","Elektrenai","1045.00","10YLT-1001A0008Q","10YLT-1001A0008Q","","110.00","41WLE-------TG5O","LE TG-5","DECOMMISSIONED","B04","Elektrenai","300.00"
"41W1023600243EL3","Lietuvos elektrine","16.01.2016","Infinity","COMMISSIONED","B04","Elektrenai","1045.00","10YLT-1001A0008Q","10YLT-1001A0008Q","","110.00","41WLE-------TG9G","LE TG-9","COMMISSIONED","B04","Elektrenai","445.00"
"41W1023600243EL3","Lietuvos elektrine","16.01.2016","Infinity","COMMISSIONED","B04","Elektrenai","1045.00","10YLT-1001A0008Q","10YLT-1001A0008Q","","110.00","41WLE-------TG7K","LE TG-7","COMMISSIONED","B04","Elektrenai","300.00"
"41W1023600243EL3","Lietuvos elektrine","16.01.2016","Infinity","COMMISSIONED","B04","Elektrenai","1045.00","10YLT-1001A0008Q","10YLT-1001A0008Q","","110.00","41WLE-------TG8I","LE TG-8","COMMISSIONED","B04","Elektrenai","300.00"
"41W1023600243EL3","Lietuvos elektrine","16.01.2016","Infinity","COMMISSIONED","B04","Elektrenai","1045.00","10YLT-1001A0008Q","10YLT-1001A0008Q","","110.00","41WLE-------TG6M","LE TG-6","DECOMMISSIONED","B04","Elektrenai","300.00"
"41W2128003453ELI","KruonioHAE","01.01.2014","Infinity","COMMISSIONED","B10","Kruonis","900.00","10YLT-1001A0008Q","10YLT-1001A0008Q","01.01.2015","330.00","41WKHAE-----HA2O","KHAE HA2","COMMISSIONED","B10","Kruonis","225.00"
"41W2128003453ELI","KruonioHAE","01.01.2014","Infinity","COMMISSIONED","B10","Kruonis","900.00","10YLT-1001A0008Q","10YLT-1001A0008Q","01.01.2015","330.00","41WKHAE-----HA1Q","KHAE HA1","COMMISSIONED","B10","Kruonis","225.00"
"41W2128003453ELI","KruonioHAE","01.01.2014","Infinity","COMMISSIONED","B10","Kruonis","900.00","10YLT-1001A0008Q","10YLT-1001A0008Q","01.01.2015","330.00","41WKHAE-----HA4K","KHAE HA4","COMMISSIONED","B10","Kruonis","225.00"
"41W2128003453ELI","KruonioHAE","01.01.2014","Infinity","COMMISSIONED","B10","Kruonis","900.00","10YLT-1001A0008Q","10YLT-1001A0008Q","01.01.2015","330.00","41WKHAE-----HA3M","KHAE HA3","COMMISSIONED","B10","Kruonis","225.00"
"41WME-------TG1J","Mazeikiu elektrine","11.09.2014","Infinity","COMMISSIONED","B04","Mazeikiai","160.00","10YLT-1001A0008Q","10YLT-1001A0008Q","28.01.2020","110.00","","","","","",""
"41W8538227475ELN","KaunoTE","01.01.2017","Infinity","COMMISSIONED","B04","Kaunas","110.00","10YLT-1001A0008Q","10YLT-1001A0008Q","","110.00","41WKTE------TG2V","KTE","COMMISSIONED","B04","Kaunas","110.00"
"41W8908466671EL6","VEJO","01.03.2018","Infinity","COMMISSIONED","B19","Lietuva","433.00","10YLT-1001A0008Q","10YLT-1001A0008Q","15.10.2018","110.00","","","","","",""
"41W3185595680EL8","VilniausE3","01.01.2014","Infinity","COMMISSIONED","B04","Vilnius","360.00","10YLT-1001A0008Q","10YLT-1001A0008Q","01.01.2015","110.00","41WVE3------TG24","VE3 TG-2","COMMISSIONED","B04","Vilnius","180.00"
"41W3185595680EL8","VilniausE3","01.01.2014","Infinity","COMMISSIONED","B04","Vilnius","360.00","10YLT-1001A0008Q","10YLT-1001A0008Q","01.01.2015","110.00","41WVE3------TG16","VE3 TG-1","COMMISSIONED","B04","Vilnius","180.00"
"41W9259783288ELI","KaunoHE","01.01.2014","Infinity","COMMISSIONED","B11","Kaunas","101.00","10YLT-1001A0008Q","10YLT-1001A0008Q","01.01.2015","110.00","","","","","",""
