"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"33W-HECSPILJEG1D","HEC Spilje","01.01.2015","Infinity","CANCELLED","B12","Debar, MK","28.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33W-HECSPILJEG2B","HEC Spilje","01.01.2015","Infinity","CANCELLED","B12","Debar, MK","28.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33W-HECSPILJEG39","HEC Spilje","01.01.2015","Infinity","CANCELLED","B12","Debar, MK","28.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33WGLOBOCICAG2-W","HEC Globocica","01.01.2015","Infinity","CANCELLED","B12","Struga, MK","21.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33W-TECBITOLA3M","TEC Bitola3","01.01.2015","Infinity","CANCELLED","B02","Bitola, Macedonia","233.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","400.00","","","","","",""
"33WHECTIKVESG4-V","HEC Tikves","01.01.2015","Infinity","CANCELLED","B12","Kavadarci, MK","28.50","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33W-TECBITOLAG1Q","TEC Bitola1","01.01.2015","Infinity","CANCELLED","B02","Bitola, Macedonia","233.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33W-TECBITOLAG2O","TEC Bitola 2","01.01.2015","Infinity","CANCELLED","B02","Bitola, Macedonia","233.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","400.00","","","","","",""
"33W-HECVRBEN-G1R","HEC Vrben","01.01.2015","Infinity","CANCELLED","B11","Gostivar, Macedonia","6.40","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33WHECTIKVESG3-Y","HEC Tikves","01.01.2015","Infinity","CANCELLED","B12","Kavadarci, MK","28.50","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33W-HECVRBEN-G2P","HEC Vrben","01.01.2015","Infinity","CANCELLED","B11","Gostivar, MK","6.40","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33WHECVRUTOK37","HEC Vrutok","01.01.2015","Infinity","CANCELLED","B12","Gostivar, MK","37.50","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
"33W-HEC-TIKVES-8","TIKVES","25.08.2015","Infinity","COMMISSIONED","B12","MK","114.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WHECTIKVESG4-V","TIKVES G4","COMMISSIONED","B12","MK","28.50"
"33W-HEC-TIKVES-8","TIKVES","25.08.2015","Infinity","COMMISSIONED","B12","MK","114.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WHECTIKVESG3-Y","TIKVES G3","COMMISSIONED","B12","MK","28.50"
"33W-HEC-TIKVES-8","TIKVES","25.08.2015","Infinity","COMMISSIONED","B12","MK","114.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WHECTIKVESG2-0","TIKVES G2","COMMISSIONED","B12","MK","28.50"
"33W-HEC-TIKVES-8","TIKVES","25.08.2015","Infinity","COMMISSIONED","B12","MK","114.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WHECTIKVESG1-3","TIKVES G1","COMMISSIONED","B12","MK","28.50"
"33W-HEC-VRUTOK-B","VRUTOK","25.08.2015","Infinity","COMMISSIONED","B11","MK","150.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-HECVRUTOKG45","VRUTOK G4","COMMISSIONED","B11","MK","37.50"
"33W-HEC-VRUTOK-B","VRUTOK","25.08.2015","Infinity","COMMISSIONED","B11","MK","150.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-HECVRUTOKG37","VRUTOK G3","COMMISSIONED","B11","MK","37.50"
"33W-HEC-VRUTOK-B","VRUTOK","25.08.2015","Infinity","COMMISSIONED","B11","MK","150.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-HECVRUTOKG29","VRUTOK G2","COMMISSIONED","B11","MK","37.50"
"33W-HEC-VRUTOK-B","VRUTOK","25.08.2015","Infinity","COMMISSIONED","B11","MK","150.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-HECVRUTOKG1B","VRUTOK G1","COMMISSIONED","B11","MK","37.50"
"33W-HECVRUTOKG45","HEC Vrutok","01.01.2015","Infinity","CANCELLED","B12","Gostivar, MK","37.50","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","","","","","",""
