"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"49W000000000146S","Windfarm Princess Amalia","01.07.2021","Infinity","COMMISSIONED","B18","intra_zonal","120.00","10YNL----------L","10YNL----------L","01.07.2021","150.00","","","","","",""
"49W000000000144W","Windfarm Luchterduinen","01.07.2021","Infinity","COMMISSIONED","B18","intra_zonal","129.00","10YNL----------L","10YNL----------L","01.07.2021","150.00","","","","","",""
"49W000000000148O","Borssele 2","20.05.2020","Infinity","COMMISSIONED","B18","intra_zonal","376.00","10YNL----------L","10YNL----------L","27.05.2020","66.00","","","","","",""
"49W000000000147Q","Borssele 1","28.04.2020","Infinity","COMMISSIONED","B18","intra_zonal","376.00","10YNL----------L","10YNL----------L","28.04.2020","66.00","","","","","",""
"49W000000000092P","PERGEN 1","01.01.2021","Infinity","COMMISSIONED","B04","intra_zonal","125.00","10YNL----------L","10YNL----------L","","150.00","49W000000000093N","Pergen 1","COMMISSIONED","B04","intra_zonal","125.00"
"49W000000000091R","Merwedekanaal 11","30.06.2017","Infinity","DECOMMISSIONED","B04","Utrecht","103.00","10YNL----------L","10YNL----------L","","50.00","49W0000000000253","MK11 50kV","DECOMMISSIONED","B04","Netherlands","103.00"
"49W000000000094L","PERGEN 2","01.01.2021","Infinity","COMMISSIONED","B04","intra_zonal","125.00","10YNL----------L","10YNL----------L","","150.00","49W000000000095J","Pergen 2","COMMISSIONED","B04","intra_zonal","125.00"
"49W000000000096H","Eems 20","01.01.2000","Infinity","COMMISSIONED","B04","NL","131.00","10YNL----------L","10YNL----------L","30.04.2020","220.00","49W000000000097F","Eems 20","COMMISSIONED","B04","NL","131.00"
"49W000000000090T","MK12 Utrecht","01.07.2021","Infinity","COMMISSIONED","B04","Keulsekade 181","225.00","10YNL----------L","10YNL----------L","","150.00","49W0000000000261","Centrale Merwedekanaal 12","COMMISSIONED","B04","Netherlands","224.00"
"49W000000000000J","Westereems","18.12.2014","Infinity","COMMISSIONED","B19","cross_zonal","120.30","10YNL----------L","10YNL----------L","05.01.2015","110.00","49W000000000000J","Westereems 2 Tennet","COMMISSIONED","B19","cross_zonal","120.30"
"49W000000000135X","Bergum 20","01.01.2000","Infinity","COMMISSIONED","B04","NL","72.00","10YNL----------L","10YNL----------L","30.04.2020","220.00","49W000000000136V","Bergum 20","COMMISSIONED","B04","NL","72.00"
"49W000000000088G","Eems 3","01.01.2000","Infinity","COMMISSIONED","B04","NL","359.00","10YNL----------L","10YNL----------L","30.04.2020","220.00","49W000000000089E","Eems 3","COMMISSIONED","B04","NL","359.00"
"49W000000000080W","Eems 7","01.01.2000","Infinity","COMMISSIONED","B04","NL","360.00","10YNL----------L","10YNL----------L","30.04.2020","380.00","49W000000000081U","Eems 7","COMMISSIONED","B04","NL","360.00"
"49W000000000082S","Eems 6","01.01.2000","Infinity","COMMISSIONED","B04","NL","359.00","10YNL----------L","10YNL----------L","17.04.2020","380.00","49W000000000083Q","Eems 6","COMMISSIONED","B04","NL","359.00"
"49W000000000084O","Eems 5","01.01.2000","Infinity","COMMISSIONED","B04","NL","361.00","10YNL----------L","10YNL----------L","30.04.2020","220.00","49W000000000085M","Eems 5","COMMISSIONED","B04","NL","361.00"
"49W000000000086K","Eems 4","01.01.2000","Infinity","COMMISSIONED","B04","NL","359.00","10YNL----------L","10YNL----------L","30.04.2020","220.00","49W000000000087I","Eems 4","COMMISSIONED","B04","NL","359.00"
"49W0000000001233","Bergum 10","01.01.2000","Infinity","COMMISSIONED","B04","NL","72.00","10YNL----------L","10YNL----------L","30.04.2020","220.00","49W0000000001241","Bergum 10","COMMISSIONED","B04","NL","72.00"
"49W0000000001225","Maastroom Energie CV","12.06.2017","Infinity","COMMISSIONED","B04","intra_zonal","426.00","10YNL----------L","10YNL----------L","21.03.2018","380.00","49W000000000109Y","Maasstroom Energie","COMMISSIONED","B04","intra_zonal","426.00"
"49W000000000127W","Windpark Gemini","08.05.2017","Infinity","COMMISSIONED","B18","Netherlands","600.00","10YNL----------L","10YNL----------L","","380.00","","","","","",""
"49W000000000076N","Centrale Gelderland (CG13)","31.12.2015","Infinity","DECOMMISSIONED","B05","Netherlands","592.00","10YNL----------L","10YNL----------L","","150.00","49W000000000077L","Centrale Gelderland (CG13)","DECOMMISSIONED","B05","Netherlands","592.00"
"49W000000000078J","NLROTTETH__1","01.01.2016","Infinity","COMMISSIONED","B05","NL","731.00","10YNL----------L","10YNL----------L","17.12.2019","220.00","49W000000000079H","NLROTTETH__1","COMMISSIONED","B05","NL","731.00"
"49W000000000070Z","Amer","24.07.2014","Infinity","COMMISSIONED","B05","intra_zonal","631.00","10YNL----------L","10YNL----------L","","380.00","49W000000000001H","Amer 8","DECOMMISSIONED","B05","intra_zonal","611.00"
"49W000000000070Z","Amer","24.07.2014","Infinity","COMMISSIONED","B05","intra_zonal","631.00","10YNL----------L","10YNL----------L","","380.00","49W000000000002F","Amer 9","COMMISSIONED","B05","intra_zonal","631.00"
"49W000000000072V","FLEVO 4","01.01.2011","Infinity","COMMISSIONED","B04","NL","426.00","10YNL----------L","10YNL----------L","30.04.2020","380.00","49W000000000073T","FLEVO 4","COMMISSIONED","B04","NL","426.00"
"49W000000000074R","FLEVO 5","01.01.2011","Infinity","COMMISSIONED","B04","NL","415.00","10YNL----------L","10YNL----------L","30.04.2020","150.00","49W000000000075P","FLEVO 5","COMMISSIONED","B04","NL","415.00"
"49W000000000117Z","Sloecentrale 20","19.09.2018","Infinity","COMMISSIONED","B04","intra_zonal","435.00","10YNL----------L","10YNL----------L","","380.00","49W0000000000423","Sloecentrale 20","COMMISSIONED","B04","intra_zonal","435.00"
"49W000000000110C","Prinses Alexia Windpark","10.12.2014","Infinity","COMMISSIONED","B19","intra_zonal","122.00","10YNL----------L","10YNL----------L","22.02.2016","150.00","","","","","",""
"49W0000000001128","Rijmond","06.06.2017","Infinity","COMMISSIONED","B04","intra_zonal","790.00","10YNL----------L","10YNL----------L","03.07.2017","150.00","49W0000000001136","Rijmond 1","COMMISSIONED","B04","intra_zonal","790.00"
"49W000000000111A","OWEZ","10.12.2014","Infinity","COMMISSIONED","B18","intra_zonal","108.00","10YNL----------L","10YNL----------L","","150.00","","","","","",""
"49W000000000063W","Moerdijk","24.07.2014","Infinity","COMMISSIONED","B04","intra_zonal","766.00","10YNL----------L","10YNL----------L","","150.00","49W000000000013A","Moerdijk 1","COMMISSIONED","B04","intra_zonal","348.00"
"49W000000000063W","Moerdijk","24.07.2014","Infinity","COMMISSIONED","B04","intra_zonal","766.00","10YNL----------L","10YNL----------L","","150.00","49W0000000000148","Moerdijk 2","COMMISSIONED","B04","intra_zonal","418.00"
"49W000000000066Q","Eemshaven","24.07.2014","Infinity","COMMISSIONED","B05","intra_zonal","1580.00","10YNL----------L","10YNL----------L","","380.00","49W0000000000083","Eemshaven B","COMMISSIONED","B05","intra_zonal","790.00"
"49W000000000066Q","Eemshaven","24.07.2014","Infinity","COMMISSIONED","B05","intra_zonal","1580.00","10YNL----------L","10YNL----------L","","380.00","49W0000000000075","Eemshaven A","COMMISSIONED","B05","intra_zonal","790.00"
"49W000000000069K","Claus","30.09.2017","Infinity","COMMISSIONED","B04","intra_zonal","1304.00","10YNL----------L","10YNL----------L","","380.00","49W0000000000059","Claus C","COMMISSIONED","B04","intra_zonal","1304.00"
"49W000000000069K","Claus","30.09.2017","Infinity","COMMISSIONED","B04","intra_zonal","1304.00","10YNL----------L","10YNL----------L","","380.00","49W000000000004B","Claus A","DECOMMISSIONED","B04","intra_zonal","610.00"
"49W000000000061-","Swentibold","24.07.2014","Infinity","COMMISSIONED","B04","intra_zonal","209.00","10YNL----------L","10YNL----------L","05.01.2015","150.00","49W0000000000156","Swentibold 1","COMMISSIONED","B04","intra_zonal","209.00"
"49W000000000100F","Maasvlakte","19.07.2017","Infinity","DECOMMISSIONED","B05","intra_zonal","0.00","10YNL----------L","10YNL----------L","","380.00","49W000000000030A","Maasvlakte 1","DECOMMISSIONED","B05","intra_zonal","535.00"
"49W000000000102B","Maasvlakte","11.12.2014","Infinity","COMMISSIONED","B05","intra_zonal","1070.00","10YNL----------L","10YNL----------L","15.01.2015","380.00","49W0000000000326","Maasvlakte 3","COMMISSIONED","B05","intra_zonal","1070.00"
"49W000000000101D","Maasvlakte","19.07.2017","Infinity","DECOMMISSIONED","B05","intra_zonal","0.00","10YNL----------L","10YNL----------L","","380.00","49W0000000000318","Maasvlakte 2","DECOMMISSIONED","B05","intra_zonal","535.00"
"49W0000000001047","RoCa","11.12.2014","Infinity","COMMISSIONED","B04","intra_zonal","220.00","10YNL----------L","10YNL----------L","15.01.2015","150.00","49W000000000037X","RoCa 3","COMMISSIONED","B04","intra_zonal","220.00"
"49W0000000000520","Borselle 12","08.09.2015","Infinity","DECOMMISSIONED","B05","Borselle","408.00","10YNL----------L","10YNL----------L","","380.00","49W000000000053Z","Borssele 12","DECOMMISSIONED","B05","Borssele","408.00"
"49W000000000054X","Borssele 30","19.09.2018","Infinity","COMMISSIONED","B14","intra_zonal","485.00","10YNL----------L","10YNL----------L","","380.00","49W000000000055V","Borssele 30","COMMISSIONED","B14","Borssele","485.00"
