"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"19W0000000001195","Łaziska 3","21.08.2014","Infinity","COMMISSIONED","B05","Polska","905.00","10YPL-AREA-----S","10YPL-AREA-----S","","220.00","19W0000000001268","Łaziska 3 B12","COMMISSIONED","B05","Polska","225.00"
"19W0000000001195","Łaziska 3","21.08.2014","Infinity","COMMISSIONED","B05","Polska","905.00","10YPL-AREA-----S","10YPL-AREA-----S","","220.00","19W000000000122G","Łaziska 3 B10","COMMISSIONED","B05","Polska","225.00"
"19W0000000001195","Łaziska 3","21.08.2014","Infinity","COMMISSIONED","B05","Polska","905.00","10YPL-AREA-----S","10YPL-AREA-----S","","220.00","19W000000000124C","Łaziska 3 B11","COMMISSIONED","B05","Polska","225.00"
"19W0000000001195","Łaziska 3","21.08.2014","Infinity","COMMISSIONED","B05","Polska","905.00","10YPL-AREA-----S","10YPL-AREA-----S","","220.00","19W000000000121I","Łaziska 3 B09","COMMISSIONED","B05","Polska","230.00"
"19W000000000247X","Porąbka Żar","01.01.2021","Infinity","COMMISSIONED","B10","Polska","552.00","10YPL-AREA-----S","10YPL-AREA-----S","18.05.2021","220.00","19W000000000248V","Porąbka Żar H1","COMMISSIONED","B10","Polska","138.00"
"19W000000000247X","Porąbka Żar","01.01.2021","Infinity","COMMISSIONED","B10","Polska","552.00","10YPL-AREA-----S","10YPL-AREA-----S","18.05.2021","220.00","19W000000000249T","Porąbka Żar H2","COMMISSIONED","B10","Polska","138.00"
"19W000000000247X","Porąbka Żar","01.01.2021","Infinity","COMMISSIONED","B10","Polska","552.00","10YPL-AREA-----S","10YPL-AREA-----S","18.05.2021","220.00","19W0000000002507","Porąbka Żar H3","COMMISSIONED","B10","Polska","138.00"
"19W000000000247X","Porąbka Żar","01.01.2021","Infinity","COMMISSIONED","B10","Polska","552.00","10YPL-AREA-----S","10YPL-AREA-----S","18.05.2021","220.00","19W0000000002523","Porąbka Żar H4","COMMISSIONED","B10","Polska","138.00"
"19W000000000116B","Łaziska 2","01.01.2021","Infinity","DECOMMISSIONED","B05","Polska","0.00","10YPL-AREA-----S","10YPL-AREA-----S","","0.00","19W0000000001187","Łaziska 2 B2","DECOMMISSIONED","B05","Polska","0.00"
"19W000000000116B","Łaziska 2","01.01.2021","Infinity","DECOMMISSIONED","B05","Polska","0.00","10YPL-AREA-----S","10YPL-AREA-----S","","0.00","19W0000000001179","Łaziska 2 B1","DECOMMISSIONED","B05","Polska","0.00"
"19W0000000000725","Karolin 1","21.08.2017","Infinity","COMMISSIONED","B05","Polska","49.00","10YPL-AREA-----S","10YPL-AREA-----S","","110.00","","","","","",""
"19W000000000199I","Turów","01.03.2021","Infinity","COMMISSIONED","B02","Polska","2013.00","10YPL-AREA-----S","10YPL-AREA-----S","19.02.2021","400.00","19W000000000203G","Turów B02","COMMISSIONED","B02","Polska","250.00"
"19W000000000199I","Turów","01.03.2021","Infinity","COMMISSIONED","B02","Polska","2013.00","10YPL-AREA-----S","10YPL-AREA-----S","19.02.2021","400.00","19W000000000205C","Turów B03","COMMISSIONED","B02","Polska","250.00"
"19W000000000199I","Turów","01.03.2021","Infinity","COMMISSIONED","B02","Polska","2013.00","10YPL-AREA-----S","10YPL-AREA-----S","19.02.2021","400.00","19W000000000201K","Turów B01","COMMISSIONED","B02","Polska","250.00"
