"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"16WCARRAPA-----2","Carrapatelo","01.12.2014","Infinity","COMMISSIONED","B11","CINFÃES","201.00","10YPT-REN------W","10YPT-REN------W","","220.00","16WCARRA1------C","Carrapatelo - G1","COMMISSIONED","B11","CINFÃES","67.00"
"16WCARRAPA-----2","Carrapatelo","01.12.2014","Infinity","COMMISSIONED","B11","CINFÃES","201.00","10YPT-REN------W","10YPT-REN------W","","220.00","16WCARRA2------4","Carrapatelo - G2","COMMISSIONED","B11","CINFÃES","67.00"
"16WCARRAPA-----2","Carrapatelo","01.12.2014","Infinity","COMMISSIONED","B11","CINFÃES","201.00","10YPT-REN------W","10YPT-REN------W","","220.00","16WCARRA3------X","Carrapatelo - G3","COMMISSIONED","B11","CINFÃES","67.00"
"16WMIRANII-----E","Miranda II","01.12.2014","Infinity","COMMISSIONED","B11","MIRANDA DOURO","189.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WMIRAN4------0","Miranda II - G1","COMMISSIONED","B11","MIRANDA DOURO","189.00"
"16WVALEIRA-----B","Valeira","01.12.2014","Infinity","COMMISSIONED","B11","S.J.PESQUEIRA","240.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WVALEIR3-----N","Valeira - G3","COMMISSIONED","B11","S.J.PESQUEIRA","80.00"
"16WVALEIRA-----B","Valeira","01.12.2014","Infinity","COMMISSIONED","B11","S.J.PESQUEIRA","240.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WVALEIR2-----U","Valeira - G2","COMMISSIONED","B11","S.J.PESQUEIRA","80.00"
"16WVALEIRA-----B","Valeira","01.12.2014","Infinity","COMMISSIONED","B11","S.J.PESQUEIRA","240.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WVALEIR1-----0","Valeira - G1","COMMISSIONED","B11","S.J.PESQUEIRA","80.00"
"16WRTG---------V","T.Outeiro C.C.","01.12.2014","Infinity","COMMISSIONED","B04","GONDOMAR","990.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WRTG02-------V","T.Outeiro C.C. - G2","COMMISSIONED","B04","GONDOMAR","330.00"
"16WRTG---------V","T.Outeiro C.C.","01.12.2014","Infinity","COMMISSIONED","B04","GONDOMAR","990.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WRTG01-------3","T.Outeiro C.C. - G1","COMMISSIONED","B04","GONDOMAR","330.00"
"16WRTG---------V","T.Outeiro C.C.","01.12.2014","Infinity","COMMISSIONED","B04","GONDOMAR","990.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WRTG03-------M","T.Outeiro C.C. - G3","COMMISSIONED","B04","GONDOMAR","330.00"
"16WCABRIL------U","Cabril","01.12.2014","Infinity","COMMISSIONED","B12","SERTÃ","108.00","10YPT-REN------W","10YPT-REN------W","","150.00","16WCABRIL1-----G","Cabril - G1","COMMISSIONED","B12","SERTÃ","54.00"
"16WCABRIL------U","Cabril","01.12.2014","Infinity","COMMISSIONED","B12","SERTÃ","108.00","10YPT-REN------W","10YPT-REN------W","","150.00","16WCABRIL2-----9","Cabril - G2","COMMISSIONED","B12","SERTÃ","54.00"
"16WALINDO------J","Alto Lindoso","01.12.2014","Infinity","COMMISSIONED","B12","PONTE DA BARCA","630.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","400.00","16WALINDO2-----Z","Alto Lindoso - G2","COMMISSIONED","B12","PONTE DA BARCA","315.00"
"16WALINDO------J","Alto Lindoso","01.12.2014","Infinity","COMMISSIONED","B12","PONTE DA BARCA","630.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","400.00","16WALINDO1-----5","Alto Lindoso - G1","COMMISSIONED","B12","PONTE DA BARCA","315.00"
"16WPOCINHO-----S","Pocinho","01.12.2014","Infinity","COMMISSIONED","B11","V.NOVA FOZ CÔA","186.00","10YPT-REN------W","10YPT-REN------W","","220.00","16WPOCIN3------J","Pocinho - G3","COMMISSIONED","B11","V.NOVA FOZ CÔA","62.00"
"16WPOCINHO-----S","Pocinho","01.12.2014","Infinity","COMMISSIONED","B11","V.NOVA FOZ CÔA","186.00","10YPT-REN------W","10YPT-REN------W","","220.00","16WPOCIN2------R","Pocinho - G2","COMMISSIONED","B11","V.NOVA FOZ CÔA","62.00"
"16WPOCINHO-----S","Pocinho","01.12.2014","Infinity","COMMISSIONED","B11","V.NOVA FOZ CÔA","186.00","10YPT-REN------W","10YPT-REN------W","","220.00","16WPOCIN1------Z","Pocinho - G1","COMMISSIONED","B11","V.NOVA FOZ CÔA","62.00"
"16WFRADE2------F","Frades II","27.08.2017","Infinity","COMMISSIONED","B10","VIEIRA DO MINHO","780.00","10YPT-REN------W","10YPT-REN------W","","400.00","16WFRADEG4-----G","Frades II - G2","COMMISSIONED","B10","VIEIRA DO MINHO","390.00"
"16WFRADE2------F","Frades II","27.08.2017","Infinity","COMMISSIONED","B10","VIEIRA DO MINHO","780.00","10YPT-REN------W","10YPT-REN------W","","400.00","16WFRADEG3-----N","Frades II - G1","COMMISSIONED","B10","VIEIRA DO MINHO","390.00"
"16WBEMPOS------6","Bemposta","01.12.2014","Infinity","COMMISSIONED","B11","MOGADOURO","240.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WBEMPOS3-----F","Bemposta - G3","COMMISSIONED","B11","MOGADOURO","80.00"
"16WBEMPOS------6","Bemposta","01.12.2014","Infinity","COMMISSIONED","B11","MOGADOURO","240.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WBEMPOS1-----T","Bemposta - G1","COMMISSIONED","B11","MOGADOURO","80.00"
"16WBEMPOS------6","Bemposta","01.12.2014","Infinity","COMMISSIONED","B11","MOGADOURO","240.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","220.00","16WBEMPOS2-----M","Bemposta - G2","COMMISSIONED","B11","MOGADOURO","80.00"
"16WVFURNA------1","Vilarinho F.","01.12.2014","Infinity","COMMISSIONED","B10","TERRAS DE BOURO","125.00","10YPT-REN------W","10YPT-REN------W","22.12.2014","150.00","16WVFURNA1-----O","Vilarinho Furnas - G1","COMMISSIONED","B10","TERRAS DE BOURO","72.00"
