"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"34WETL-TENTB---B","TENT B","01.01.2015","Infinity","COMMISSIONED","B02","Serbia","1300.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","400.00","34WETL-TENTBG1-B","TENT B G1","COMMISSIONED","B02","Serbia","650.00"
"34WETL-TENTB---B","TENT B","01.01.2015","Infinity","COMMISSIONED","B02","Serbia","1300.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","400.00","34WETL-TENTBG2-8","TENT B G2","COMMISSIONED","B02","Serbia","650.00"
"34WEHP-DJE-1G2-O","HE Đerdap 1 G2","01.01.2015","Infinity","CANCELLED","B11","Serbia","176.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","400.00","","","","","",""
"34WETL-TENTBG1-B","TENT B G1","01.01.2015","Infinity","CANCELLED","B02","Serbia","650.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","400.00","","","","","",""
"34WETL-KOSOAG3-6","TE Kosovo A G3","01.01.2015","Infinity","CANCELLED","B02","Serbia","200.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","220.00","","","","","",""
"34WETG-ZRENJ---4","TETO ZRENJANIN","01.01.2018","Infinity","COMMISSIONED","B04","Serbia","0.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","110.00","34WETG-ZRENJG1-4","TETO Zrenjanin G1","COMMISSIONED","B20","Serbia","0.00"
"34WETL-TENTAG6-1","TENT A G6","01.01.2015","Infinity","CANCELLED","B02","Serbia","348.50","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","400.00","","","","","",""
"34WEHP-DJE-1G3-L","HE Đerdap 1 G3","01.01.2015","Infinity","CANCELLED","B11","Serbia","176.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","400.00","","","","","",""
"34WETG-ZRENJG1-4","TETO Zrenjanin G1","01.01.2015","Infinity","CANCELLED","B20","Serbia","120.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","110.00","","","","","",""
"34WERV-CIBUK---5","VE CIBUK","01.01.2020","Infinity","COMMISSIONED","B19","Serbia","157.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","400.00","","","","","",""
"34WEHP-BBASH---V","HE BAJINA BASTA","01.01.2015","Infinity","COMMISSIONED","B11","Serbia","420.00","10YCS-SERBIATSOV","10YCS-SERBIATSOV","","220.00","34WEHP-BBASHG1-V","HE Bajina Bašta G1","COMMISSIONED","B11","Serbia","105.00"
