"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"24WV--EBO------8","Bohunice","01.01.2015","Infinity","COMMISSIONED","B14","Jaslovské Bohunice","1000.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--EBOG32---8","Bohunice TG32","COMMISSIONED","B14","Jaslovské Bohunice","250.00"
"24WV--EBO------8","Bohunice","01.01.2015","Infinity","COMMISSIONED","B14","Jaslovské Bohunice","1000.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--EBOG41---7","Bohunice TG41","COMMISSIONED","B14","Jaslovské Bohunice","250.00"
"24WV--EBO------8","Bohunice","01.01.2015","Infinity","COMMISSIONED","B14","Jaslovské Bohunice","1000.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--EBOG31---D","Bohunice TG31","COMMISSIONED","B14","Jaslovské Bohunice","250.00"
"24WV--EBO------8","Bohunice","01.01.2015","Infinity","COMMISSIONED","B14","Jaslovské Bohunice","1000.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--EBOG42---2","Bohunice TG42","COMMISSIONED","B14","Jaslovské Bohunice","250.00"
"24WV--EVO------D","Vojany","01.01.2015","Infinity","COMMISSIONED","B05","Vojany","220.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","220.00","24WG--EVOG16---5","Vojany TG6","COMMISSIONED","B05","Vojany","110.00"
"24WV--EVO------D","Vojany","01.01.2015","Infinity","COMMISSIONED","B05","Vojany","220.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","220.00","24WG--EVOG15---A","Vojany TG5","COMMISSIONED","B05","Vojany","110.00"
"24WV--HCV------O","Čierny Váh","01.01.2015","Infinity","COMMISSIONED","B10","Čierny Váh","734.40","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--HCVG04---W","Čierny Váh TG4","COMMISSIONED","B10","Čierny Váh","122.40"
"24WV--HCV------O","Čierny Váh","01.01.2015","Infinity","COMMISSIONED","B10","Čierny Váh","734.40","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--HCVG03---0","Čierny Váh TG3","COMMISSIONED","B10","Čierny Váh","122.40"
"24WV--HCV------O","Čierny Váh","01.01.2015","Infinity","COMMISSIONED","B10","Čierny Váh","734.40","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--HCVG02---5","Čierny Váh TG2","COMMISSIONED","B10","Čierny Váh","122.40"
"24WV--HCV------O","Čierny Váh","01.01.2015","Infinity","COMMISSIONED","B10","Čierny Váh","734.40","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--HCVG06---M","Čierny Váh TG6","COMMISSIONED","B10","Čierny Váh","122.40"
"24WV--HCV------O","Čierny Váh","01.01.2015","Infinity","COMMISSIONED","B10","Čierny Váh","734.40","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--HCVG01---A","Čierny Váh TG1","COMMISSIONED","B10","Čierny Váh","122.40"
"24WV--HCV------O","Čierny Váh","01.01.2015","Infinity","COMMISSIONED","B10","Čierny Váh","734.40","10YSK-SEPS-----K","10YSK-SEPS-----K","","400.00","24WG--HCVG05---R","Čierny Váh TG5","COMMISSIONED","B10","Čierny Váh","122.40"
"24WV--EMO------K","Mochovce","01.01.2021","Infinity","COMMISSIONED","B14","Mochovce","1921.00","10YSK-SEPS-----K","10YSK-SEPS-----K","20.03.2019","400.00","24WG--EMOG11---0","Mochovce TG11","COMMISSIONED","B14","Mochovce","235.00"
"24WV--EMO------K","Mochovce","01.01.2021","Infinity","COMMISSIONED","B14","Mochovce","1921.00","10YSK-SEPS-----K","10YSK-SEPS-----K","20.03.2019","400.00","24WG--EMOG12---W","Mochovce TG12","COMMISSIONED","B14","Mochovce","235.00"
"24WV--EMO------K","Mochovce","01.01.2021","Infinity","COMMISSIONED","B14","Mochovce","1921.00","10YSK-SEPS-----K","10YSK-SEPS-----K","20.03.2019","400.00","24WG--EMOG22---Q","Mochovce TG22","COMMISSIONED","B14","Mochovce","235.00"
"24WV--EMO------K","Mochovce","01.01.2021","Infinity","COMMISSIONED","B14","Mochovce","1921.00","10YSK-SEPS-----K","10YSK-SEPS-----K","20.03.2019","400.00","24WG--EMOG21---V","Mochovce TG21","COMMISSIONED","B14","Mochovce","235.00"
"24WV--ENO------B","Nováky","01.01.2017","Infinity","COMMISSIONED","B02","Nováky","220.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","110.00","24WG--ENOG01---Y","Nováky TG1","COMMISSIONED","B02","Nováky","110.00"
"24WV--ENO------B","Nováky","01.01.2017","Infinity","COMMISSIONED","B02","Nováky","220.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","110.00","24WG--ENOG04---J","Nováky TG4","DECOMMISSIONED","B02","Nováky","110.00"
"24WV--ENO------B","Nováky","01.01.2017","Infinity","COMMISSIONED","B02","Nováky","220.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","110.00","24WG--ENOG03---O","Nováky TG3","COMMISSIONED","B02","Nováky","110.00"
"24WV--ENO------B","Nováky","01.01.2017","Infinity","COMMISSIONED","B02","Nováky","220.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","110.00","24WG--ENOG02---T","Nováky TG2","COMMISSIONED","B02","Nováky","110.00"
"24WV--HLM------F","Liptovská Mara","01.01.2015","Infinity","COMMISSIONED","B12","Liptovská Mara","198.00","10YSK-SEPS-----K","10YSK-SEPS-----K","","110.00","","","","","",""
