,PU EIC Code,PU Name,Valid From,Valid To,PU Status,PU Type,PU Location,"PU Installed
Capacity",Control Area,Bidding Zone,Last Update,PU Voltage,GU Code,GU Name,GU Status,GU Type,GU Location,"GU Installed
Capacity",lat,lon
0,45W000000000018N,Stigsnaesvaerket,22.08.2017,inf,DECOMMISSIONED,Fossil Hard coal,Denmark,264.0,"Denmark, Energinet CA",DK2 BZ / MBA,,132.0,45W000000000042Q,Stigsnaesvaerket 2,DECOMMISSIONED,Fossil Hard coal,Denmark,264.0,55.205,11.253
1,45W000000000019L,Roedsand 1,18.05.2017,inf,COMMISSIONED,Wind Offshore,Denmark,165.6,"Denmark, Energinet CA",DK2 BZ / MBA,,132.0,45W000000000044M,Roedsand 1,COMMISSIONED,Wind Offshore,Denmark,165.6,54.55,11.71
2,45W000000000016R,Nordjyllandsvaerket,18.05.2017,inf,COMMISSIONED,Fossil Hard coal,Denmark,405.0,"Denmark, Energinet CA",DK1 BZ / MBA,,400.0,45W000000000038H,Nordjyllandsvaerket 3,COMMISSIONED,Fossil Hard coal,Denmark,380.0,57.074,10.042
3,45W000000000017P,Esbjergvaerket,18.05.2017,inf,COMMISSIONED,Fossil Hard coal,Denmark,377.0,"Denmark, Energinet CA",DK1 BZ / MBA,,150.0,45W000000000040U,Esbjergvaerket 3,COMMISSIONED,Fossil Hard coal,Denmark,377.0,55.455,8.458
4,45W000000000014V,Fynsvaerket,18.05.2017,inf,COMMISSIONED,Fossil Hard coal,Denmark,407.1,"Denmark, Energinet CA",DK1 BZ / MBA,,400.0,45W000000000035N,Fynsvaerket 7,COMMISSIONED,Fossil Hard coal,Denmark,372.0,55.429,10.404
5,45W000000000014W,Fynsvaerket,18.05.2017,inf,CANCELLED,Fossil Hard coal,Denmark,407.1,"Denmark, Energinet CA",DK1 BZ / MBA,,400.0,45W000000000035N,Fynsvaerket 7,CANCELLED,Fossil Hard coal,Denmark,372.0,55.429,10.404
6,45W000000000013X,Amagervaerket,18.05.2017,inf,COMMISSIONED,Fossil Hard coal,Denmark,479.0,"Denmark, Energinet CA",DK2 BZ / MBA,,132.0,45W000000000034P,Amagervaerket 3,COMMISSIONED,Fossil Hard coal,Denmark,250.0,55.686,12.626
7,45W000000000013X,Amagervaerket,18.05.2017,inf,COMMISSIONED,Fossil Hard coal,Denmark,479.0,"Denmark, Energinet CA",DK2 BZ / MBA,,132.0,45W000000000113T,Amagervaerket 4,COMMISSIONED,Biomass,Denmark,149.0,55.686,12.626
8,45W000000000015T,Studstrupvaerket,31.03.2017,inf,COMMISSIONED,Fossil Hard coal,Denmark,730.0,"Denmark, Energinet CA",DK1 BZ / MBA,,400.0,45W000000000036L,Studstrupvaerket 3,COMMISSIONED,Biomass,Denmark,359.0,56.251,10.344
9,45W000000000015T,Studstrupvaerket,31.03.2017,inf,COMMISSIONED,Fossil Hard coal,Denmark,730.0,"Denmark, Energinet CA",DK1 BZ / MBA,,400.0,45W000000000037J,Studstrupvaerket 4,COMMISSIONED,Fossil Hard coal,Denmark,357.0,56.251,10.344
