"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"32W001100100050N","CHP_EVN_PLOVDIV","01.12.2013","Infinity","COMMISSIONED","B04","Plovdiv","105.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","","220.00","","","","","",""
"32W001100100218B","TEC_BOBOVDOL_EAD","01.12.2013","Infinity","COMMISSIONED","B02","Bobov dol","570.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","","400.00","32W001100100008M","TPP_BOBOV_DOL_G2","COMMISSIONED","B02","TEC_BOBOVDOL_EAD","190.00"
"32W001100100218B","TEC_BOBOVDOL_EAD","01.12.2013","Infinity","COMMISSIONED","B02","Bobov dol","570.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","","400.00","32W001100100009K","TPP_BOBOV_DOL_G3","COMMISSIONED","B02","TEC_BOBOVDOL_EAD","190.00"
"32W001100100218B","TEC_BOBOVDOL_EAD","01.12.2013","Infinity","COMMISSIONED","B02","Bobov dol","570.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","","400.00","32W001100100007O","TPP_BOBOV_DOL_G1","COMMISSIONED","B02","TEC_BOBOVDOL_EAD","190.00"
"32W0011001002199","TPP_VARNA_BG","01.12.2013","Infinity","COMMISSIONED","B04","Varna","420.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","20.11.2018","400.00","32W001100100032P","TPP VARNA G6","COMMISSIONED","B04","TPP_VARNA_BG","210.00"
"32W0011001002199","TPP_VARNA_BG","01.12.2013","Infinity","COMMISSIONED","B04","Varna","420.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","20.11.2018","400.00","32W001100100031R","TPP VARNA G5","COMMISSIONED","B04","TPP_VARNA_BG","210.00"
"32W001100100217D","NPP_KOZLODUY","12.11.2014","Infinity","COMMISSIONED","B14","Kozloduy","2000.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","","400.00","32W001100100016N","NPP KZL G9","COMMISSIONED","B14","NPP Kozloduy","1000.00"
"32W001100100217D","NPP_KOZLODUY","12.11.2014","Infinity","COMMISSIONED","B14","Kozloduy","2000.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","","400.00","32W001100100017L","NPP KZL G10","COMMISSIONED","B14","NPP Kozloduy","1000.00"
"32W001100100070H","PSHPP_BELMEKEN","01.12.2013","Infinity","COMMISSIONED","B12","Sestrimo","375.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","","220.00","","","","","",""
"32W001100100071F","HPP_SESTRIMO","01.12.2013","Infinity","COMMISSIONED","B12","Sestrimo","240.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","24.07.2015","220.00","","","","","",""
"32W0011001000781","PSHPP_ORFEUS_GEN","01.12.2013","Infinity","COMMISSIONED","B12","Krichim","160.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","","220.00","","","","","",""
"32W0011001000749","HPP_PESHTERA","01.12.2013","Infinity","COMMISSIONED","B12","Peshtera","135.00","10YCA-BULGARIA-R","10YCA-BULGARIA-R","24.07.2015","220.00","","","","","",""
