"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"12W-0000000797-L","Kraftwerk Lötschen","25.06.2018","Infinity","COMMISSIONED","B11","intra_zonal","126.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","27.06.2018","65.00","12W-0000000072-5","Kraftwerk Lötschen","COMMISSIONED","B11","intra_zonal","126.00"
"12W-0000000018-B","KLL - KW Linth-Limmern AG","01.06.2019","Infinity","COMMISSIONED","B10","intra_zonal","1524.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","18.11.2019","380.00","12W-0000000441-0","Tierfehd - Limmern G1","COMMISSIONED","B10","intra_zonal","102.00"
"12W-0000000018-B","KLL - KW Linth-Limmern AG","01.06.2019","Infinity","COMMISSIONED","B10","intra_zonal","1524.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","18.11.2019","380.00","12W-0000000442-Y","Tierfehd - Limmern G2","COMMISSIONED","B10","intra_zonal","102.00"
"12W-0000000018-B","KLL - KW Linth-Limmern AG","01.06.2019","Infinity","COMMISSIONED","B10","intra_zonal","1524.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","18.11.2019","380.00","12W-0000000688-R","Limmern - Muttsee G2","COMMISSIONED","B10","intra_zonal","250.00"
"12W-0000000018-B","KLL - KW Linth-Limmern AG","01.06.2019","Infinity","COMMISSIONED","B10","intra_zonal","1524.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","18.11.2019","380.00","12W-0000000687-U","Limmern - Muttsee G1","COMMISSIONED","B10","intra_zonal","250.00"
"12W-0000000018-B","KLL - KW Linth-Limmern AG","01.06.2019","Infinity","COMMISSIONED","B10","intra_zonal","1524.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","18.11.2019","380.00","12W-0000000689-O","Limmern - Muttsee G3","COMMISSIONED","B10","intra_zonal","250.00"
"12W-0000000018-B","KLL - KW Linth-Limmern AG","01.06.2019","Infinity","COMMISSIONED","B10","intra_zonal","1524.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","18.11.2019","380.00","12W-0000000690-A","Limmern - Muttsee G4","COMMISSIONED","B10","intra_zonal","250.00"
"12W-0000000018-B","KLL - KW Linth-Limmern AG","01.06.2019","Infinity","COMMISSIONED","B10","intra_zonal","1524.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","18.11.2019","380.00","12W-0000000443-V","Tierfehd - Limmern G3","COMMISSIONED","B10","intra_zonal","102.00"
"12W-0000000018-B","KLL - KW Linth-Limmern AG","01.06.2019","Infinity","COMMISSIONED","B10","intra_zonal","1524.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","18.11.2019","380.00","12W-0000000444-S","Tierfehd - Limmern GPSW","COMMISSIONED","B10","intra_zonal","138.00"
"12W-0000000011-W","KWZ - KW Zervreila AG","06.10.2015","Infinity","COMMISSIONED","B12","intra_zonal","258.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","07.10.2015","220.00","","","","","",""
"12W-0000000021-S","KVR - KW Vorderrhein AG","06.10.2015","Infinity","COMMISSIONED","B12","intra_zonal","336.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","","220.00","","","","","",""
"12W-0000000065-0","Verzasca","29.05.2018","Infinity","COMMISSIONED","B12","intra_zonal","114.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","01.06.2018","150.00","12W-0000000951-8","Verzasca","COMMISSIONED","B12","intra_zonal","114.00"
"12W-0000000052-D","KKL - KernKW Leibstadt AG","06.10.2015","Infinity","COMMISSIONED","B14","intra_zonal","1220.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","","380.00","12W-0000000438-K","Leibstadt","COMMISSIONED","B14","intra_zonal","1220.00"
"12W-0000000105-J","Electra-Massa (EM)","31.12.2014","Infinity","COMMISSIONED","B12","intra_zonal","340.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","02.07.2015","220.00","12W-0000000007-I","Kraftwerk Bitsch","COMMISSIONED","B12","intra_zonal","340.00"
"12W-0000000016-H","KHR - KW Hinterrhein AG","06.10.2015","Infinity","COMMISSIONED","B10","intra_zonal","640.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","07.10.2015","220.00","","","","","",""
"12W-0000000034-F","Kraftwerke Mauvoisin AG","31.12.2014","Infinity","COMMISSIONED","B12","intra_zonal","421.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","30.06.2015","220.00","12W-0000000929-X","Stufe FMM Produktion Total","COMMISSIONED","B12","intra_zonal","421.00"
"12W-0000000017-E","KKB - KernKW Beznau","06.10.2015","Infinity","COMMISSIONED","B14","intra_zonal","730.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","07.10.2015","380.00","12W-0000000433-Z","Beznau 2","COMMISSIONED","B14","intra_zonal","365.00"
"12W-0000000017-E","KKB - KernKW Beznau","06.10.2015","Infinity","COMMISSIONED","B14","intra_zonal","730.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","07.10.2015","380.00","12W-0000000431-4","Beznau 1","COMMISSIONED","B14","intra_zonal","365.00"
"12W-0000000925-8","Maggia (OFIMA)","31.12.2014","Infinity","COMMISSIONED","B12","intra_zonal","605.00","10YCH-SWISSGRIDZ","10YCH-SWISSGRIDZ","","220.00","12W-0000000733-K","Centrale di Cavergno","COMMISSIONED","B12","intra_zonal","108.00"
