"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"27W-PU-EPLE----4","EPLE_______","31.12.2020","Infinity","COMMISSIONED","B02","Plzeňská energetika","111.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","22.00","","","","","",""
"27W-PU-EPC1----Y","EPC1_______","31.12.2020","Infinity","COMMISSIONED","B02","Počerady","916.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EPC1G4--0","EPC1_G4____","COMMISSIONED","B02","Počerady","187.00"
"27W-PU-EPC1----Y","EPC1_______","31.12.2020","Infinity","COMMISSIONED","B02","Počerady","916.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EPC1G5--X","EPC1_G5____","COMMISSIONED","B02","Počerady","185.00"
"27W-PU-EPC1----Y","EPC1_______","31.12.2020","Infinity","COMMISSIONED","B02","Počerady","916.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EPC1G2--8","EPC1_G2____","COMMISSIONED","B02","Počerady","187.00"
"27W-PU-EPC1----Y","EPC1_______","31.12.2020","Infinity","COMMISSIONED","B02","Počerady","916.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EPC1G3--4","EPC1_G3____","COMMISSIONED","B02","Počerady","186.00"
"27W-PU-EPC1----Y","EPC1_______","31.12.2020","Infinity","COMMISSIONED","B02","Počerady","916.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EPC1G6--T","EPC1_G6____","COMMISSIONED","B02","Počerady","185.00"
"27W-PU-EVRE----P","EVRE_______","15.06.2021","Infinity","DECOMMISSIONED","B02","357 43 Vřesová","239.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","","110.00","","","","","",""
"27W-PU-EDAL----O","EDAL_______","31.12.2020","Infinity","COMMISSIONED","B10","Dalešice","472.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EDALG4--R","EDAL_G4____","COMMISSIONED","B10","Dalešice","118.00"
"27W-PU-EDAL----O","EDAL_______","31.12.2020","Infinity","COMMISSIONED","B10","Dalešice","472.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EDALG1--2","EDAL_G1____","COMMISSIONED","B10","Dalešice","118.00"
"27W-PU-EDAL----O","EDAL_______","31.12.2020","Infinity","COMMISSIONED","B10","Dalešice","472.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EDALG3--V","EDAL_G3____","COMMISSIONED","B10","Dalešice","118.00"
"27W-PU-EDAL----O","EDAL_______","31.12.2020","Infinity","COMMISSIONED","B10","Dalešice","472.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EDALG2--Z","EDAL_G2____","COMMISSIONED","B10","Dalešice","118.00"
"27W-PU-EME3----W","EME3_______","31.12.2020","Infinity","COMMISSIONED","B02","Mělník 3","415.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EME3G11-4","EME3_G11___","COMMISSIONED","B02","Mělník 3","415.00"
"27W-PU-EDUK----1","EDUK_______","31.12.2020","Infinity","COMMISSIONED","B14","Dukovany","1880.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EDUKB3--X","EDUK_B3____","COMMISSIONED","B14","Dukovany","470.00"
"27W-PU-EDUK----1","EDUK_______","31.12.2020","Infinity","COMMISSIONED","B14","Dukovany","1880.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EDUKB2--0","EDUK_B2____","COMMISSIONED","B14","Dukovany","470.00"
"27W-PU-EDUK----1","EDUK_______","31.12.2020","Infinity","COMMISSIONED","B14","Dukovany","1880.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EDUKB4--T","EDUK_B4____","COMMISSIONED","B14","Dukovany","470.00"
"27W-PU-EDUK----1","EDUK_______","31.12.2020","Infinity","COMMISSIONED","B14","Dukovany","1880.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-EDUKB1--4","EDUK_B1____","COMMISSIONED","B14","Dukovany","470.00"
"27W-PU-EPVR----4","EPVR_______","15.06.2021","Infinity","DECOMMISSIONED","B04","357 43 Vřesová","400.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","","220.00","27W-GU-EPVR-B2-I","EPVR.B2","DECOMMISSIONED","B04","357 43 Vřesová","200.00"
"27W-PU-EPVR----4","EPVR_______","15.06.2021","Infinity","DECOMMISSIONED","B04","357 43 Vřesová","400.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","","220.00","27W-GU-EPVR-B1-L","EPVR.B1","DECOMMISSIONED","B04","357 43 Vřesová","200.00"
"27W-PU-ECHV----Y","ECHV_______","31.12.2020","Infinity","COMMISSIONED","B02","Chvaletice","767.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-ECHVG3--4","ECHV_G3____","COMMISSIONED","B02","Chvaletice","192.00"
"27W-PU-ECHV----Y","ECHV_______","31.12.2020","Infinity","COMMISSIONED","B02","Chvaletice","767.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-ECHVG1--C","ECHV_G1____","COMMISSIONED","B02","Chvaletice","192.00"
"27W-PU-ECHV----Y","ECHV_______","31.12.2020","Infinity","COMMISSIONED","B02","Chvaletice","767.00","10YCZ-CEPS-----N","10YCZ-CEPS-----N","29.01.2020","400.00","27W-GU-ECHVG4--0","ECHV_G4____","COMMISSIONED","B02","Chvaletice","192.00"
