"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"45W000000000018N","Stigsnaesvaerket","22.08.2017","Infinity","DECOMMISSIONED","B05","Denmark","264.00","10Y1001A1001A796","10YDK-2--------M","","132.00","45W000000000042Q","Stigsnaesvaerket 2","DECOMMISSIONED","B05","Denmark","264.00"
"45W000000000019L","Roedsand 1","18.05.2017","Infinity","COMMISSIONED","B18","Denmark","165.60","10Y1001A1001A796","10YDK-2--------M","","132.00","45W000000000044M","Roedsand 1","COMMISSIONED","B18","Denmark","165.60"
"45W000000000016R","Nordjyllandsvaerket","18.05.2017","Infinity","COMMISSIONED","B05","Denmark","405.00","10Y1001A1001A796","10YDK-1--------W","","400.00","45W000000000038H","Nordjyllandsvaerket 3","COMMISSIONED","B05","Denmark","380.00"
"45W000000000017P","Esbjergvaerket","18.05.2017","Infinity","COMMISSIONED","B05","Denmark","377.00","10Y1001A1001A796","10YDK-1--------W","","150.00","45W000000000040U","Esbjergvaerket 3","COMMISSIONED","B05","Denmark","377.00"
"45W000000000014V","Fynsvaerket","18.05.2017","Infinity","COMMISSIONED","B05","Denmark","407.10","10Y1001A1001A796","10YDK-1--------W","","400.00","45W000000000035N","Fynsvaerket 7","COMMISSIONED","B05","Denmark","372.00"
"45W000000000014W","Fynsvaerket","18.05.2017","Infinity","CANCELLED","B05","Denmark","407.10","10Y1001A1001A796","10YDK-1--------W","","400.00","45W000000000035N","Fynsvaerket 7","CANCELLED","B05","Denmark","372.00"
"45W000000000013X","Amagervaerket","18.05.2017","Infinity","COMMISSIONED","B05","Denmark","479.00","10Y1001A1001A796","10YDK-2--------M","","132.00","45W000000000034P","Amagervaerket 3","COMMISSIONED","B05","Denmark","250.00"
"45W000000000013X","Amagervaerket","18.05.2017","Infinity","COMMISSIONED","B05","Denmark","479.00","10Y1001A1001A796","10YDK-2--------M","","132.00","45W000000000113T","Amagervaerket 4","COMMISSIONED","B01","Denmark","149.00"
"45W000000000015T","Studstrupvaerket","31.03.2017","Infinity","COMMISSIONED","B05","Denmark","730.00","10Y1001A1001A796","10YDK-1--------W","","400.00","45W000000000036L","Studstrupvaerket 3","COMMISSIONED","B01","Denmark","359.00"
"45W000000000015T","Studstrupvaerket","31.03.2017","Infinity","COMMISSIONED","B05","Denmark","730.00","10Y1001A1001A796","10YDK-1--------W","","400.00","45W000000000037J","Studstrupvaerket 4","COMMISSIONED","B05","Denmark","357.00"
"45W000000000012Z","Asnaesvaerket","18.05.2017","Infinity","COMMISSIONED","B05","Denmark","787.00","10Y1001A1001A796","10YDK-2--------M","","132.00","45W000000000032T","Asnaesvaerket 2","COMMISSIONED","B05","Denmark","147.00"
"45W000000000012Z","Asnaesvaerket","18.05.2017","Infinity","COMMISSIONED","B05","Denmark","787.00","10Y1001A1001A796","10YDK-2--------M","","132.00","45W000000000033R","Asnaesvaerket 5","COMMISSIONED","B05","Denmark","640.00"
"45W0000000000110","Skaerbaekvaerket","18.05.2017","Infinity","COMMISSIONED","B04","Denmark","392.00","10Y1001A1001A796","10YDK-1--------W","","400.00","45W000000000031V","Skaerbaekvaerket 3","COMMISSIONED","B01","Denmark","392.00"
