"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"18W0000000005S2B","EGMEBRO","01.06.2021","Infinity","COMMISSIONED","B19","Zaragoza","357.40","10YES-REE------0","10YES-REE------0","31.05.2021","220.00","","","","","",""
"18WFEGPE-12345-0","FV 100EGPE","01.02.2021","Infinity","COMMISSIONED","B16","Spain","172.60","10YES-REE------0","10YES-REE------0","31.01.2021","220.00","","","","","",""
"18WESC6-12345-07","ESC IBER 6","01.02.2020","Infinity","COMMISSIONED","B04","Murcia","815.60","10YES-REE------0","10YES-REE------0","31.01.2020","400.00","18WESC6TG2-12-CE","ESC6TG2","COMMISSIONED","B04","Murcia","265.50"
"18WESC6-12345-07","ESC IBER 6","01.02.2020","Infinity","COMMISSIONED","B04","Murcia","815.60","10YES-REE------0","10YES-REE------0","31.01.2020","400.00","18WESC6TG1-12-CL","ESC6TG1","COMMISSIONED","B04","Murcia","259.20"
"18WESC6-12345-07","ESC IBER 6","01.02.2020","Infinity","COMMISSIONED","B04","Murcia","815.60","10YES-REE------0","10YES-REE------0","31.01.2020","400.00","18WESC6TV-123-C5","ESC6TV","COMMISSIONED","B04","Murcia","290.90"
"18WBES3-12345-0V","BESOS 3","01.02.2020","Infinity","COMMISSIONED","B04","Barcelona","411.90","10YES-REE------0","10YES-REE------0","31.01.2020","220.00","18WBES3-12345-C7","BESOS 3","COMMISSIONED","B04","Barcelona","411.90"
"18WGUA1-12345-0T","GUARDO 1","18.12.2020","Infinity","DECOMMISSIONED","B05","Palencia","143.40","10YES-REE------0","10YES-REE------0","31.01.2020","220.00","18WGUA1-12345-D3","GUARDO 1","DECOMMISSIONED","B05","Palencia","143.40"
"18WELC1-12345-0U","ELCOGAS","01.03.2016","Infinity","DECOMMISSIONED","B05","13","296.40","10YES-REE------0","10YES-REE------0","11.12.2014","220.00","18WELC1-12345-GZ","ELCOGAS","DECOMMISSIONED","B05","13","296.40"
"18WEAECLM-123-19","EAECLM","01.03.2016","Infinity","DECOMMISSIONED","B19","02","157.50","10YES-REE------0","10YES-REE------0","10.02.2016","400.00","","","","","",""
"18WELBOGA-1234-V","ELBOGA","01.02.2020","Infinity","COMMISSIONED","B19","Burgos","280.40","10YES-REE------0","10YES-REE------0","31.01.2020","400.00","","","","","",""
