"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"30W-CET-ROVI---Q","TPP Rovinari","01.01.2020","01.01.2022","COMMISSIONED","B02","internal","878.00","10YRO-TEL------P","10YRO-TEL------P","","400.00","30WROVIROVI3---K","CTE_Rovinari_ROVI3_CA","COMMISSIONED","B02","internal","290.00"
"30W-CET-ROVI---Q","TPP Rovinari","01.01.2020","01.01.2022","COMMISSIONED","B02","internal","878.00","10YRO-TEL------P","10YRO-TEL------P","","400.00","30WROVIROVI6---5","CTE_Rovinari_ROVI6_CA","COMMISSIONED","B02","internal","294.00"
"30W-CET-ROVI---Q","TPP Rovinari","01.01.2020","01.01.2022","COMMISSIONED","B02","internal","878.00","10YRO-TEL------P","10YRO-TEL------P","","400.00","30WROVIROVI5---A","CTE_Rovinari_ROVI5_CA","DECOMMISSIONED","B02","internal","301.00"
"30W-CET-ROVI---Q","TPP Rovinari","01.01.2020","01.01.2022","COMMISSIONED","B02","internal","878.00","10YRO-TEL------P","10YRO-TEL------P","","400.00","30WROVIROVI4---F","CTE_Rovinari_ROVI4_CA","COMMISSIONED","B02","internal","294.00"
"30W-CHE-STEJ---C","HPP Stejaru","01.01.2021","01.01.2022","COMMISSIONED","B12","internal","151.00","10YRO-TEL------P","10YRO-TEL------P","","110.00","","","","","",""
"30W-CEE-STUP---U","WPP Stupina","01.01.2019","Infinity","COMMISSIONED","B19","internal","119.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","400.00","","","","","",""
"30W-CHE-CORB---Q","HPP Vidraru","01.01.2019","Infinity","COMMISSIONED","B12","internal","219.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","220.00","","","","","",""
"30W-CET-BORZ---J","TPP Borzesti","01.01.2020","Infinity","DECOMMISSIONED","B04","internal","197.00","10YRO-TEL------P","10YRO-TEL------P","","220.00","30WTE--BORZ7---3","CteBorzesti_BORZ7_CA","DECOMMISSIONED","B04","internal","197.00"
"30W-CHE-RUIM---B","HPP Raul Mare","01.01.2019","Infinity","COMMISSIONED","B12","internal","210.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","220.00","30WHIDRRIUM2---W","CheRetezat_RIUM2_CA","COMMISSIONED","B12","internal","100.00"
"30W-CHE-RUIM---B","HPP Raul Mare","01.01.2019","Infinity","COMMISSIONED","B12","internal","210.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","220.00","30WHIDRRIUM1---1","CheRetezat_RIUM1_CA","COMMISSIONED","B12","internal","110.00"
"30W-CHE-TISM---J","HPP Tismana","01.12.2014","Infinity","COMMISSIONED","B12","internal","105.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","110.00","","","","","",""
"30W-CET-BRAI---0","TPP  Braila","01.01.2020","Infinity","DECOMMISSIONED","B04","internal","407.00","10YRO-TEL------P","10YRO-TEL------P","","220.00","30WTE--BRAI11--0","CetBraila_BRAI1_CA","DECOMMISSIONED","B04","internal","215.00"
"30W-CET-BRAI---0","TPP  Braila","01.01.2020","Infinity","DECOMMISSIONED","B04","internal","407.00","10YRO-TEL------P","10YRO-TEL------P","","220.00","30WTE--BRAI2---3","CetBraila_BRAI2_CA","DECOMMISSIONED","B04","internal","192.00"
"30W-CET-PETROM-L","TPP CCCC Petrom Brazi","01.01.2020","Infinity","COMMISSIONED","B04","internal","832.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","400.00","30W-PETR-BRAZ1-W","CCCCBrazi_BraziST_CA","COMMISSIONED","B04","internal","832.00"
"30W-CHE-GALC---C","HPP Galceag","01.12.2014","Infinity","COMMISSIONED","B12","internal","149.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","220.00","","","","","",""
"30W-CET-GOVO---A","TPP Govora","01.01.2020","Infinity","COMMISSIONED","B02","internal","166.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","110.00","","","","","",""
"30W-CET-MINT---R","TPP Mintia","01.01.2019","01.01.2022","COMMISSIONED","B05","internal","810.00","10YRO-TEL------P","10YRO-TEL------P","","220.00","30WMINTMINT5---N","CET_MINT5_CA","COMMISSIONED","B05","internal","170.00"
"30W-CET-MINT---R","TPP Mintia","01.01.2019","01.01.2022","COMMISSIONED","B05","internal","810.00","10YRO-TEL------P","10YRO-TEL------P","","220.00","30WMINTMINT2---1","CET_MINT2_CA","COMMISSIONED","B05","internal","170.00"
"30W-CET-MINT---R","TPP Mintia","01.01.2019","01.01.2022","COMMISSIONED","B05","internal","810.00","10YRO-TEL------P","10YRO-TEL------P","","220.00","30WMINTMINT3---X","CET_MINT3_CA","COMMISSIONED","B05","internal","190.00"
"30W-CET-MINT---R","TPP Mintia","01.01.2019","01.01.2022","COMMISSIONED","B05","internal","810.00","10YRO-TEL------P","10YRO-TEL------P","","220.00","30WMINTMINT6---I","CET_MINT6_CA","COMMISSIONED","B05","internal","150.00"
"30W-CET-MINT---R","TPP Mintia","01.01.2019","01.01.2022","COMMISSIONED","B05","internal","810.00","10YRO-TEL------P","10YRO-TEL------P","","220.00","30WMINTMINT4---S","CET_MINT4_CA","COMMISSIONED","B05","internal","130.00"
"30W-FACAENI----J","WPP Facaeni","01.01.2019","Infinity","COMMISSIONED","B19","internal","132.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","400.00","","","","","",""
"30W-CHE-SUGAG--7","HPP Sugag","01.01.2020","Infinity","COMMISSIONED","B12","internal","149.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","220.00","","","","","",""
"30W-CEE-COGEA--T","Cogealac","31.05.2021","Infinity","COMMISSIONED","B19","intra_zonal","252.20","10YRO-TEL------P","10YRO-TEL------P","","400.00","","","","","",""
"30W-CET-ISAL---X","TPP Isalnita","01.07.2021","Infinity","COMMISSIONED","B02","internal","292.00","10YRO-TEL------P","10YRO-TEL------P","04.03.2021","220.00","30WCRAIISAL8---8","Isalnita_ISAL8_CA","DECOMMISSIONED","B02","internal","290.00"
"30W-CET-ISAL---X","TPP Isalnita","01.07.2021","Infinity","COMMISSIONED","B02","internal","292.00","10YRO-TEL------P","10YRO-TEL------P","04.03.2021","220.00","30WCRAIISAL7---D","Isalnita_ISAL7_CA","COMMISSIONED","B02","internal","292.00"
"30W-CEE-FANT---U","WPP Fantanele","01.01.2019","Infinity","COMMISSIONED","B19","internal","260.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","400.00","","","","","",""
"30W-CHE-LOTR---A","HPP Lotru","14.10.2019","Infinity","COMMISSIONED","B12","internal","509.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","220.00","30WHIDRLOTR1---C","CHE_Lotru_LOTR1_CA","COMMISSIONED","B12","internal","169.00"
"30W-CHE-LOTR---A","HPP Lotru","14.10.2019","Infinity","COMMISSIONED","B12","internal","509.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","220.00","30WHIDRLOTR2---G","CHE_Lotru_LOTR2_CA","COMMISSIONED","B12","internal","169.00"
"30W-CHE-LOTR---A","HPP Lotru","14.10.2019","Infinity","COMMISSIONED","B12","internal","509.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","220.00","30WHIDRLOTR3---B","CHE_Lotru_LOTR3_CA","COMMISSIONED","B12","internal","169.00"
"30W-CET-BRAZ---Q","TPP Brazi","19.11.2019","Infinity","COMMISSIONED","B04","internal","223.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","110.00","30WBRAZBRAZ6---X","CETBrazi__BRAZ6_CA","COMMISSIONED","B04","internal","98.00"
"30W-CET-BRAZ---Q","TPP Brazi","19.11.2019","Infinity","COMMISSIONED","B04","internal","223.00","10YRO-TEL------P","10YRO-TEL------P","03.03.2021","110.00","30WBRAZBRAZ5---1","CETBrazi__BRAZ5_CA","COMMISSIONED","B04","internal","98.00"
"30W-CET-GALA---G","TPP Galati","27.02.2021","Infinity","COMMISSIONED","B04","internal","192.00","10YRO-TEL------P","10YRO-TEL------P","04.03.2021","110.00","30WGALAGALA5---Q","CetGalati_GALA5_CA","COMMISSIONED","B04","internal","96.00"
