"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"46WPU0000000032W","Messaure","01.11.2014","Infinity","COMMISSIONED","B12","SE1","452.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU00000000321","Messaure G3","COMMISSIONED","B12","SE1","152.00"
"46WPU0000000032W","Messaure","01.11.2014","Infinity","COMMISSIONED","B12","SE1","452.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU00000000305","Messaure G1","COMMISSIONED","B12","SE1","150.00"
"46WPU0000000032W","Messaure","01.11.2014","Infinity","COMMISSIONED","B12","SE1","452.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU00000000313","Messaure G2","COMMISSIONED","B12","SE1","150.00"
"46WPU0000000031Y","Ligga","01.11.2014","Infinity","COMMISSIONED","B12","SE1","343.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU0000000029R","Ligga G3","COMMISSIONED","B12","SE1","179.00"
"46WPU0000000033U","Seitevare","01.11.2014","Infinity","COMMISSIONED","B12","SE1","225.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU0000000034Y","Seitevare G1","COMMISSIONED","B12","SE1","225.00"
"46WPU0000000039I","Gallejaur","01.11.2014","Infinity","COMMISSIONED","B12","SE1","214.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","130.00","46WGU00000000402","Gallejaur G1","COMMISSIONED","B12","SE1","113.00"
"46WPU0000000039I","Gallejaur","01.11.2014","Infinity","COMMISSIONED","B12","SE1","214.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","130.00","46WGU00000000410","Gallejaur G2","COMMISSIONED","B12","SE1","101.00"
"46WPU0000000036O","Porsi","01.11.2014","Infinity","COMMISSIONED","B12","SE1","275.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","130.00","46WGU0000000038Q","Porsi G3","COMMISSIONED","B12","SE1","107.00"
"46WPU0000000035Q","Letsi","01.01.2017","Infinity","COMMISSIONED","B12","SE1","487.00","10YSE-1--------K","10Y1001A1001A44P","","400.00","46WGU0000000035W","Letsi G1","COMMISSIONED","B12","SE1","146.00"
"46WPU0000000035Q","Letsi","01.01.2017","Infinity","COMMISSIONED","B12","SE1","487.00","10YSE-1--------K","10Y1001A1001A44P","","400.00","46WGU0000000036U","Letsi G2","COMMISSIONED","B12","SE1","146.00"
"46WPU0000000035Q","Letsi","01.01.2017","Infinity","COMMISSIONED","B12","SE1","487.00","10YSE-1--------K","10Y1001A1001A44P","","400.00","46WGU0000000037S","Letsi G3","COMMISSIONED","B12","SE1","146.00"
"46WPU0000000038K","Bastusel","01.11.2014","Infinity","COMMISSIONED","B12","SE1","100.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","130.00","46WGU0000000039O","Bastusel G1","COMMISSIONED","B12","SE1","100.00"
"46WPU0000000037M","Laxede","01.01.2017","Infinity","COMMISSIONED","B12","SE1","202.00","10YSE-1--------K","10Y1001A1001A44P","","130.00","","","","","",""
"46WPU00000000210","Krokströmmen","01.11.2014","Infinity","COMMISSIONED","B11","SE2","103.00","10YSE-1--------K","10Y1001A1001A45N","12.12.2014","130.00","","","","","",""
"46WPU00000000202","Krångede","01.11.2014","Infinity","CANCELLED","B12","SE2","250.00","10YSE-1--------K","10Y1001A1001A45N","","220.00","","","","","",""
"46WPU0000000028N","Porjus","01.11.2014","Infinity","COMMISSIONED","B12","SE1","440.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU00000000232","Porjus G11","COMMISSIONED","B12","SE1","220.00"
"46WPU0000000028N","Porjus","01.11.2014","Infinity","COMMISSIONED","B12","SE1","440.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU00000000240","Porjus G12","COMMISSIONED","B12","SE1","220.00"
"46WPU0000000027P","Vietas","01.01.2019","Infinity","COMMISSIONED","B12","SE1","334.00","10YSE-1--------K","10Y1001A1001A44P","","400.00","46WGU00000000216","Vietas G1","COMMISSIONED","B12","SE1","162.00"
"46WPU0000000027P","Vietas","01.01.2019","Infinity","COMMISSIONED","B12","SE1","334.00","10YSE-1--------K","10Y1001A1001A44P","","400.00","46WGU00000000224","Vietas G2","COMMISSIONED","B12","SE1","162.00"
"46WPU0000000029L","Harsprånget","01.11.2014","Infinity","COMMISSIONED","B12","SE1","830.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU0000000025Z","Harsprånget G1","COMMISSIONED","B12","SE1","110.00"
"46WPU0000000029L","Harsprånget","01.11.2014","Infinity","COMMISSIONED","B12","SE1","830.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU0000000026X","Harsprånget G2","COMMISSIONED","B12","SE1","110.00"
"46WPU0000000029L","Harsprånget","01.11.2014","Infinity","COMMISSIONED","B12","SE1","830.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU0000000027V","Harsprånget G4","COMMISSIONED","B12","SE1","170.00"
"46WPU0000000029L","Harsprånget","01.11.2014","Infinity","COMMISSIONED","B12","SE1","830.00","10YSE-1--------K","10Y1001A1001A44P","12.12.2014","400.00","46WGU0000000028T","Harsprånget G5","COMMISSIONED","B12","SE1","440.00"
"46WPU0000000024V","Värtaverket KVV6  G2","01.11.2014","Infinity","CANCELLED","B05","SE3","130.00","10YSE-1--------K","10Y1001A1001A46L","","110.00","","","","","",""
"46WPU0000000023X","Värtaverket","01.01.2019","Infinity","COMMISSIONED","B06","SE3","504.00","10YSE-1--------K","10Y1001A1001A46L","","110.00","46WGU00000000054","KVV1 Värtaverket","COMMISSIONED","B06","SE3","190.00"
