"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"28W-G-0000000797","TET","17.09.2014","Infinity","DECOMMISSIONED","B02","Trbovlje","110.00","10YSI-ELES-----O","10YSI-ELES-----O","","110.00","28W-G-000000061Q","TET 4","DECOMMISSIONED","B02","Trbovlje","125.00"
"28W-G-000000122W","PE Brestanica","14.09.2018","Infinity","COMMISSIONED","B04","Brestanica","350.00","10YSI-ELES-----O","10YSI-ELES-----O","11.05.2021","110.00","28W-G-0000000130","Plinski blok Brestanica 4","COMMISSIONED","B04","Brestanica","114.00"
"28W-G-000000122W","PE Brestanica","14.09.2018","Infinity","COMMISSIONED","B04","Brestanica","350.00","10YSI-ELES-----O","10YSI-ELES-----O","11.05.2021","110.00","28W-G-0000000106","Plinski blok Brestanica 3","COMMISSIONED","B04","Brestanica","23.00"
"28W-G-000000122W","PE Brestanica","14.09.2018","Infinity","COMMISSIONED","B04","Brestanica","350.00","10YSI-ELES-----O","10YSI-ELES-----O","11.05.2021","110.00","28W-G-000000014Z","Plinski blok Brestanica 5","COMMISSIONED","B04","Brestanica","114.00"
"28W-G-000000122W","PE Brestanica","14.09.2018","Infinity","COMMISSIONED","B04","Brestanica","350.00","10YSI-ELES-----O","10YSI-ELES-----O","11.05.2021","110.00","28W-G-000000009S","Plinski blok Brestanica 2","COMMISSIONED","B04","Brestanica","23.00"
"28W-G-000000122W","PE Brestanica","14.09.2018","Infinity","COMMISSIONED","B04","Brestanica","350.00","10YSI-ELES-----O","10YSI-ELES-----O","11.05.2021","110.00","28W-G-000000008U","Plinski blok Brestanica 1","COMMISSIONED","B04","Brestanica","23.00"
"28W-G-000000122W","PE Brestanica","14.09.2018","Infinity","COMMISSIONED","B04","Brestanica","350.00","10YSI-ELES-----O","10YSI-ELES-----O","11.05.2021","110.00","28W000000000008D","TE Brestanica blok 6 67 MVA","COMMISSIONED","B04","Brestanica","53.00"
"28W-G-000000080M","TE Šoštanj","16.12.2020","Infinity","COMMISSIONED","B02","Šoštanj","844.00","10YSI-ELES-----O","10YSI-ELES-----O","09.05.2021","400.00","28W-G-000000121Y","TE Šoštanj 6","COMMISSIONED","B02","Šoštanj","539.00"
"28W-G-000000080M","TE Šoštanj","16.12.2020","Infinity","COMMISSIONED","B02","Šoštanj","844.00","10YSI-ELES-----O","10YSI-ELES-----O","09.05.2021","400.00","28W-G-000000055L","TE Šoštanj 5","COMMISSIONED","B02","Šoštanj","305.00"
"28W-G-000000080M","TE Šoštanj","16.12.2020","Infinity","COMMISSIONED","B02","Šoštanj","844.00","10YSI-ELES-----O","10YSI-ELES-----O","09.05.2021","400.00","28W-G-000000054N","TE Šoštanj 4","DECOMMISSIONED","B02","Šoštanj","248.00"
"28W-G-000000082I","TE TE-TOL","11.04.2017","Infinity","COMMISSIONED","B02","Ljubljana","112.00","10YSI-ELES-----O","10YSI-ELES-----O","03.05.2021","110.00","28W-G-000000058F","TE TE-TOL 3","COMMISSIONED","B02","Ljubljana","50.00"
"28W-G-000000082I","TE TE-TOL","11.04.2017","Infinity","COMMISSIONED","B02","Ljubljana","112.00","10YSI-ELES-----O","10YSI-ELES-----O","03.05.2021","110.00","28W-G-000000057H","TE TE-TOL 2","COMMISSIONED","B02","Ljubljana","42.00"
"28W-G-000000082I","TE TE-TOL","11.04.2017","Infinity","COMMISSIONED","B02","Ljubljana","112.00","10YSI-ELES-----O","10YSI-ELES-----O","03.05.2021","110.00","28W-G-000000056J","TE TE-TOL 1","COMMISSIONED","B02","Ljubljana","42.00"
"28W-G-0000000009","ČHE Avče elektrarna","20.04.2017","Infinity","COMMISSIONED","B10","Avče","180.00","10YSI-ELES-----O","10YSI-ELES-----O","03.05.2021","110.00","28W-G-000000123U","ČHE Avče elektrarna - generator","COMMISSIONED","B10","Avče","180.00"
"28W-G-000000091H","HE Formin","11.04.2017","Infinity","COMMISSIONED","B11","Formin","116.00","10YSI-ELES-----O","10YSI-ELES-----O","23.04.2021","100.00","28W-G-000000024W","HE Formin 2","COMMISSIONED","B11","Formin","58.00"
"28W-G-000000091H","HE Formin","11.04.2017","Infinity","COMMISSIONED","B11","Formin","116.00","10YSI-ELES-----O","10YSI-ELES-----O","23.04.2021","100.00","28W-G-000000023Y","HE Formin 1","COMMISSIONED","B11","Formin","58.00"
"28W-G-000000090J","HE Zlatoličje","11.04.2017","Infinity","COMMISSIONED","B11","Zlatoličje","126.00","10YSI-ELES-----O","10YSI-ELES-----O","23.04.2021","110.00","28W-G-000000072L","HE Zlatoličje 2","COMMISSIONED","B11","Zlatolije","63.00"
"28W-G-000000090J","HE Zlatoličje","11.04.2017","Infinity","COMMISSIONED","B11","Zlatoličje","126.00","10YSI-ELES-----O","10YSI-ELES-----O","23.04.2021","110.00","28W-G-000000071N","HE Zlatoličje 1","COMMISSIONED","B11","Zlatoličje","63.00"
"28W-G-000000119L","NE Krško","20.04.2017","Infinity","COMMISSIONED","B14","Krško","696.00","10YSI-ELES-----O","10YSI-ELES-----O","23.04.2021","400.00","28W-G-000000041W","NE Krško SLO","COMMISSIONED","B14","Krško","696.00"
