"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"48WSTN000GRAI-GD","GRAI-G","01.10.2015","Infinity","COMMISSIONED","B04","GB","58.00","10YGB----------A","10YGB----------A","29.09.2015","400.00","48W000000GRAI4G1","GRAI4G","COMMISSIONED","B04","GB","29.00"
"48WSTN000GRAI-GD","GRAI-G","01.10.2015","Infinity","COMMISSIONED","B04","GB","58.00","10YGB----------A","10YGB----------A","29.09.2015","400.00","48W000000GRAI1GA","GRAI1G","COMMISSIONED","B04","GB","29.00"
"48WSTN00000OLDSS","OLDS","01.01.2000","Infinity","COMMISSIONED","B14","GB","560.00","10YGB----------A","10YGB----------A","12.12.2014","275.00","48W0000000OLDS2F","OLDS2","COMMISSIONED","B14","GB","280.00"
"48WSTN00000OLDSS","OLDS","01.01.2000","Infinity","COMMISSIONED","B14","GB","560.00","10YGB----------A","10YGB----------A","12.12.2014","275.00","48W0000000OLDS1H","OLDS1","COMMISSIONED","B14","GB","280.00"
"48WSTN000DRAXXGK","DRAXXG","01.01.2000","Infinity","COMMISSIONED","B04","GB","96.00","10YGB----------A","10YGB----------A","12.12.2014","400.00","48W000DRAXX-12G3","DRAXX-12G","COMMISSIONED","B04","GB","32.00"
"48WSTN000DRAXXGK","DRAXXG","01.01.2000","Infinity","COMMISSIONED","B04","GB","96.00","10YGB----------A","10YGB----------A","12.12.2014","400.00","48W000DRAXX-10G9","DRAXX-10G","COMMISSIONED","B04","GB","32.00"
"48WSTN000DRAXXGK","DRAXXG","01.01.2000","Infinity","COMMISSIONED","B04","GB","96.00","10YGB----------A","10YGB----------A","12.12.2014","400.00","48W0000DRAXX-9GR","DRAXX-9G","COMMISSIONED","B04","GB","32.00"
"48WSTN00000GRMOP","GRMO","01.01.2013","Infinity","COMMISSIONED","B04","GB","144.00","10YGB----------A","10YGB----------A","25.03.2015","275.00","48W100000GRMO-1N","GRMO-1","COMMISSIONED","B04","GB","144.00"
"48WSTN1000COTPSQ","COTPS","01.01.2000","Infinity","COMMISSIONED","B05","GB","2008.00","10YGB----------A","10YGB----------A","12.12.2014","400.00","48W00000COTPS-2O","COTPS-2","COMMISSIONED","B05","GB","507.00"
"48WSTN1000COTPSQ","COTPS","01.01.2000","Infinity","COMMISSIONED","B05","GB","2008.00","10YGB----------A","10YGB----------A","12.12.2014","400.00","48W00000COTPS-1Q","COTPS-1","COMMISSIONED","B05","GB","497.00"
"48WSTN1000COTPSQ","COTPS","01.01.2000","Infinity","COMMISSIONED","B05","GB","2008.00","10YGB----------A","10YGB----------A","12.12.2014","400.00","48W00000COTPS-4K","COTPS-4","COMMISSIONED","B05","GB","497.00"
"48WSTN1000COTPSQ","COTPS","01.01.2000","Infinity","COMMISSIONED","B05","GB","2008.00","10YGB----------A","10YGB----------A","12.12.2014","400.00","48W00000COTPS-3M","COTPS-3","COMMISSIONED","B05","GB","507.00"
"48WSTN0000GRIFWQ","GRIFW","09.02.2016","Infinity","COMMISSIONED","B19","GB","204.00","10YGB----------A","10YGB----------A","09.02.2016","132.00","48W10000GRIFW-1N","GRIFW-1","COMMISSIONED","B19","GB","102.00"
"48WSTN0000GRIFWQ","GRIFW","09.02.2016","Infinity","COMMISSIONED","B19","GB","204.00","10YGB----------A","10YGB----------A","09.02.2016","132.00","48W00000GRIFW-2Y","GRIFW-2","COMMISSIONED","B19","GB","102.00"
"48WSTN0000BNAKWJ","BNAKW","07.09.2007","Infinity","COMMISSIONED","B19","GB","28.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W00000BNAKW-1G","BNAKW-1","COMMISSIONED","B19","GB","28.00"
"48WSTN00000SROM0","SROM","29.03.2005","Infinity","COMMISSIONED","B11","GB","999.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W000000SROM-1O","SROM-1","COMMISSIONED","B11","GB","999.00"
"48WSTN0000BRDUWV","BRDUW","30.08.2006","Infinity","COMMISSIONED","B19","GB","74.00","10YGB----------A","10YGB----------A","12.12.2014","0.00","48W00000BRDUW-1V","BRDUW-1","COMMISSIONED","B19","GB","74.00"
"48WSTN0000CAIRBU","CAIRB","10.05.2006","Infinity","COMMISSIONED","B19","GB","42.00","10YGB----------A","10YGB----------A","12.12.2014","0.00","48W00000CAIRW-2E","CAIRW-2","COMMISSIONED","B19","GB","42.00"
"48WSTN0000BNWKW5","BNWKW","01.01.2019","Infinity","COMMISSIONED","B19","GB","22.00","10YGB----------A","10YGB----------A","","132.00","48W00000BNWKW-1W","BNWKW-1","COMMISSIONED","B19","GB","22.00"
"48WSTN0000RUGPS5","RUGPS","01.01.2000","Infinity","COMMISSIONED","B05","GB","976.00","10YGB----------A","10YGB----------A","01.04.2015","400.00","48W00000RUGPS-66","RUGPS-6","COMMISSIONED","B05","GB","488.00"
"48WSTN0000RUGPS5","RUGPS","01.01.2000","Infinity","COMMISSIONED","B05","GB","976.00","10YGB----------A","10YGB----------A","01.04.2015","400.00","48W00000RUGPS-74","RUGPS-7","COMMISSIONED","B05","GB","488.00"
"48WSTN0000CLDRWR","CLDRW","01.01.2019","Infinity","COMMISSIONED","B19","GB","37.00","10YGB----------A","10YGB----------A","","275.00","48W00000CLDRW-16","CLDRW-1","COMMISSIONED","B19","GB","37.00"
"48WSTN0000WTMSOT","WTMSO","27.03.2014","Infinity","COMMISSIONED","B19","GB","210.00","10YGB----------A","10YGB----------A","12.12.2014","275.00","48W00000WTMSO-1M","WTMSO-1","COMMISSIONED","B19","GB","210.00"
"48WSTN00000DAMCL","DAMC","31.01.2021","Infinity","COMMISSIONED","B04","GB","805.00","10YGB----------A","10YGB----------A","31.01.2021","400.00","48W000000DAMC-1M","DAMC-1","COMMISSIONED","B04","GB","805.00"
"48WSTN00000SHINJ","SHIN","29.03.2005","Infinity","COMMISSIONED","B11","GB","24.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W000000SHIN-2Y","SHIN-2","COMMISSIONED","B11","GB","12.00"
"48WSTN00000SHINJ","SHIN","29.03.2005","Infinity","COMMISSIONED","B11","GB","24.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W100000SHIN-1N","SHIN-1","COMMISSIONED","B11","GB","12.00"
"48WSTN0000GLWSWZ","GLWSW","01.01.2019","Infinity","COMMISSIONED","B19","GB","56.00","10YGB----------A","10YGB----------A","","275.00","48W00000GLWSW-13","GLWSW-1","COMMISSIONED","B19","GB","56.00"
"48WSTN00000CRUAC","CRUA","31.12.2018","Infinity","COMMISSIONED","B10","GB","440.00","10YGB----------A","10YGB----------A","31.12.2018","275.00","48W000000CRUA-16","CRUA-1","COMMISSIONED","B10","GB","120.00"
"48WSTN00000CRUAC","CRUA","31.12.2018","Infinity","COMMISSIONED","B10","GB","440.00","10YGB----------A","10YGB----------A","31.12.2018","275.00","48W000000CRUA-24","CRUA-2","COMMISSIONED","B10","GB","120.00"
"48WSTN00000CRUAC","CRUA","31.12.2018","Infinity","COMMISSIONED","B10","GB","440.00","10YGB----------A","10YGB----------A","31.12.2018","275.00","48W000000CRUA-32","CRUA-3","COMMISSIONED","B10","GB","100.00"
"48WSTN00000CRUAC","CRUA","31.12.2018","Infinity","COMMISSIONED","B10","GB","440.00","10YGB----------A","10YGB----------A","31.12.2018","275.00","48W000000CRUA-40","CRUA-4","COMMISSIONED","B10","GB","100.00"
"48WSTN00000ROCKK","ROCK","01.01.2000","Infinity","COMMISSIONED","B04","GB","830.00","10YGB----------A","10YGB----------A","12.12.2014","400.00","48W000000ROCK-16","ROCK-1","COMMISSIONED","B04","GB","830.00"
"48WSTN00000CASSD","CASS","31.03.2005","Infinity","COMMISSIONED","B11","GB","11.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W000000CASS-27","CASS-2","COMMISSIONED","B11","GB","8.00"
"48WSTN00000CASSD","CASS","31.03.2005","Infinity","COMMISSIONED","B11","GB","11.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W000000CASS-19","CASS-1","COMMISSIONED","B11","GB","3.00"
"48WSTN0000AKGLBI","AKGLB","01.01.2019","Infinity","COMMISSIONED","B19","GB","63.00","10YGB----------A","10YGB----------A","","400.00","48W00000AKGLW-22","AKGLW-2","COMMISSIONED","B19","GB","63.00"
"48WSTN0000ANSUWY","ANSUW","01.01.2013","Infinity","COMMISSIONED","B19","GB","19.00","10YGB----------A","10YGB----------A","25.03.2015","132.00","48W00000ANSUW-1E","ANSUW-1","COMMISSIONED","B19","GB","19.00"
"48WSTN00000CDCLQ","CDCL","01.10.2015","Infinity","COMMISSIONED","B04","GB","440.00","10YGB----------A","10YGB----------A","29.09.2015","400.00","48W000000CDCL-1P","CDCL-1","COMMISSIONED","B04","GB","440.00"
"48WSTN00000SVRP6","SVRP","13.11.2009","Infinity","COMMISSIONED","B04","GB","850.00","10YGB----------A","10YGB----------A","12.12.2014","275.00","48W00000SVRP-207","SVRP-20","COMMISSIONED","B04","GB","425.00"
"48WSTN00000SVRP6","SVRP","13.11.2009","Infinity","COMMISSIONED","B04","GB","850.00","10YGB----------A","10YGB----------A","12.12.2014","275.00","48W00000SVRP-10A","SVRP-10","COMMISSIONED","B04","GB","425.00"
"47W000000000318I","Lisahally","01.01.2017","Infinity","COMMISSIONED","B01","Lisahally","18.00","10Y1001A1001A016","10Y1001A1001A59C","","33.00","47W000000000318I","Lisahally","COMMISSIONED","B01","Lisahally","18.00"
"48WSTN00000GAURQ","GAUR","29.03.2005","Infinity","COMMISSIONED","B11","GB","999.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W000000GAUR-1C","GAUR-1","COMMISSIONED","B11","GB","999.00"
"48WSTN00000ERROK","ERRO","29.03.2005","Infinity","COMMISSIONED","B11","GB","75.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W000000ERRO-2N","ERRO-2","COMMISSIONED","B11","GB","25.00"
"48WSTN00000ERROK","ERRO","29.03.2005","Infinity","COMMISSIONED","B11","GB","75.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W000000ERRO-1P","ERRO-1","COMMISSIONED","B11","GB","25.00"
"48WSTN00000ERROK","ERRO","29.03.2005","Infinity","COMMISSIONED","B11","GB","75.00","10YGB----------A","10YGB----------A","12.12.2014","132.00","48W000000ERRO-3L","ERRO-3","COMMISSIONED","B11","GB","25.00"
