,PU EIC Code,PU Name,Valid From,Valid To,PU Status,PU Type,PU Location,"PU Installed
Capacity",Control Area,Bidding Zone,Last Update,PU Voltage,GU Code,GU Name,GU Status,GU Type,GU Location,"GU Installed
Capacity",lat,lon
0,50WP00000000384S,Kvandal,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Kvandal,0.4,"Norway, Norway MBA, Stattnet CA",NO4 BZ / MBA,26.06.2015,2.0,50WG000000008975,Kvandal G101 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000384S,0.4,60.471,6.61
1,50WP00000000384S,Kvandal,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Kvandal,0.4,"Norway, Norway MBA, Stattnet CA",NO4 BZ / MBA,26.06.2015,2.0,50WG000000008967,Kvandal Ng1 Therm,DECOMMISSIONED,Hydro Run-of-river and poundage,Kvandal,0.0,60.471,6.61
2,50WP000000002528,Haugfoss,05.12.2016,inf,DECOMMISSIONED,Hydro Water Reservoir,Haugfoss,3.6,"Norway, Norway MBA, Stattnet CA",NO1 BZ / MBA,26.06.2015,60.0,50WG00000000637V,Haugfossg1 Hydro,DECOMMISSIONED,Hydro Water Reservoir,50WP000000002528,3.6,59.914,9.886
3,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG000000006073,Haugen G130 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,0.2,59.586,10.743
4,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG000000006081,Haugen G110 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,0.1,59.586,10.743
5,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG000000006065,Haugen G132 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,0.6,59.586,10.743
6,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG00000000629U,Haugen G131 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,2.1,59.586,10.743
7,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG00000000628W,Haugen G124 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,2.6,59.586,10.743
8,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG00000000627Y,Haugen G105 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,0.1,59.586,10.743
9,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG000000006251,Haugen G111 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,1.3,59.586,10.743
10,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG000000006243,Haugen G106 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,0.1,59.586,10.743
11,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG000000006235,Haugen G108 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,3.1,59.586,10.743
12,50WP00000000251A,Haugen,05.12.2016,inf,DECOMMISSIONED,Hydro Run-of-river and poundage,Haugen,32.9,"Norway, Norway MBA, Stattnet CA",NO3 BZ / MBA,26.06.2015,2.0,50WG000000006227,Haugen G113 Hydro,DECOMMISSIONED,Hydro Run-of-river and poundage,50WP00000000251A,2.9,59.586,10.743
