,PU EIC Code,PU Name,Valid From,Valid To,PU Status,PU Type,PU Location,"PU Installed
Capacity",Control Area,Bidding Zone,Last Update,PU Voltage,GU Code,GU Name,GU Status,GU Type,GU Location,"GU Installed
Capacity",lat,lon
0,44W-K-LV-000000Q,Haapavesi,20.05.2013,inf,COMMISSIONED,Fossil Peat,Haapavesi,150.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,220.0,44W-T-LV-1000086,Haapavesi B1,COMMISSIONED,Fossil Peat,Haapavesi,150.0,64.121,25.41
1,44W-00000000006L,Raahen Voima,01.05.2016,inf,COMMISSIONED,Other,Raahe,125.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-00000000006L,Raahen Voima,COMMISSIONED,Other,Raahe,125.0,64.651,24.422
2,44W-T-VV-000012X,Haapaniemi,01.01.2014,inf,COMMISSIONED,Fossil Peat,Kuopio,145.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,,,,,,,62.8241424,27.594561484488977
3,44W-T-VV-000005U,Ossauskoski,01.01.2013,inf,COMMISSIONED,Hydro Run-of-river and poundage,Tervola,138.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,220.0,,,,,,,66.0822914,24.8058841
4,44W-T-VV-000004W,Isohaara,01.01.2013,inf,COMMISSIONED,Hydro Run-of-river and poundage,Keminmaa,128.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,,,,,,,65.803014,24.5208776
5,44W-00000000014M,Metsä Fibre Kemi,16.02.2021,inf,COMMISSIONED,Biomass,Kemi,250.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,,,,,,,65.7333404,24.5666495
6,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100010U,Raasakka G3,CANCELLED,Hydro Run-of-river and poundage,Iijoki,22.0,65.335,25.411
7,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100002T,Pahkakoski G1,CANCELLED,Hydro Run-of-river and poundage,Iijoki,21.0,65.358,26.033
8,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100003R,Pahkakoski G2,CANCELLED,Hydro Run-of-river and poundage,Iijoki,21.0,65.358,26.033
9,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100004P,Kierikki G1,CANCELLED,Hydro Run-of-river and poundage,Iijoki,19.0,65.359,25.91
10,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100005N,Kierikki G2,CANCELLED,Hydro Run-of-river and poundage,Iijoki,19.0,65.359,25.91
11,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100006L,Maalismaa G1,CANCELLED,Hydro Run-of-river and poundage,Iijoki,19.0,65.333,25.41
12,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100007J,Maalismaa G2,CANCELLED,Hydro Run-of-river and poundage,Iijoki,19.0,65.333,25.41
13,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100008H,Raasakka G1,CANCELLED,Hydro Run-of-river and poundage,Iijoki,22.0,65.335,25.411
14,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100009F,Raasakka G2,CANCELLED,Hydro Run-of-river and poundage,Iijoki,21.0,65.324,25.521
15,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100000X,Haapakoski G1,CANCELLED,Hydro Run-of-river and poundage,Iijoki,16.0,62.456,27.163
16,44W-T-VV-0000003,Iijoki,01.01.2014,inf,CANCELLED,Hydro Run-of-river and poundage,Iijoki,215.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,44W-T-VV-100001V,Haapakoski G2,CANCELLED,Hydro Run-of-river and poundage,Iijoki,16.0,62.456,27.163
17,44W-T-VV-000003Y,Imatra,01.01.2014,inf,COMMISSIONED,Hydro Run-of-river and poundage,Imatra,192.0,"Finland, Fingrid BZ / CA / MBA","Finland, Fingrid BZ / CA / MBA",,110.0,,,,,,,61.1922858,28.7780233
