,PU EIC Code,PU Name,Valid From,Valid To,PU Status,PU Type,PU Location,"PU Installed
Capacity",Control Area,Bidding Zone,Last Update,PU Voltage,GU Code,GU Name,GU Status,GU Type,GU Location,"GU Installed
Capacity",lat,lon
0,46WPU0000000032W,Messaure,01.11.2014,inf,COMMISSIONED,Hydro Water Reservoir,SE1,452.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,12.12.2014,400.0,46WGU00000000321,Messaure G3,COMMISSIONED,Hydro Water Reservoir,SE1,152.0,66.686,20.336
1,46WPU0000000032W,Messaure,01.11.2014,inf,COMMISSIONED,Hydro Water Reservoir,SE1,452.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,12.12.2014,400.0,46WGU00000000305,Messaure G1,COMMISSIONED,Hydro Water Reservoir,SE1,150.0,66.686,20.336
2,46WPU0000000032W,Messaure,01.11.2014,inf,COMMISSIONED,Hydro Water Reservoir,SE1,452.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,12.12.2014,400.0,46WGU00000000313,Messaure G2,COMMISSIONED,Hydro Water Reservoir,SE1,150.0,66.686,20.336
3,46WPU0000000031Y,Ligga,01.11.2014,inf,COMMISSIONED,Hydro Water Reservoir,SE1,343.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,12.12.2014,400.0,46WGU0000000029R,Ligga G3,COMMISSIONED,Hydro Water Reservoir,SE1,179.0,66.809,19.897
4,46WPU0000000033U,Seitevare,01.11.2014,inf,COMMISSIONED,Hydro Water Reservoir,SE1,225.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,12.12.2014,400.0,46WGU0000000034Y,Seitevare G1,COMMISSIONED,Hydro Water Reservoir,SE1,225.0,66.976,18.575
5,46WPU0000000039I,Gallejaur,01.11.2014,inf,COMMISSIONED,Hydro Water Reservoir,SE1,214.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,12.12.2014,130.0,46WGU00000000402,Gallejaur G1,COMMISSIONED,Hydro Water Reservoir,SE1,113.0,65.114,19.464
6,46WPU0000000039I,Gallejaur,01.11.2014,inf,COMMISSIONED,Hydro Water Reservoir,SE1,214.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,12.12.2014,130.0,46WGU00000000410,Gallejaur G2,COMMISSIONED,Hydro Water Reservoir,SE1,101.0,65.114,19.464
7,46WPU0000000036O,Porsi,01.11.2014,inf,COMMISSIONED,Hydro Water Reservoir,SE1,275.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,12.12.2014,130.0,46WGU0000000038Q,Porsi G3,COMMISSIONED,Hydro Water Reservoir,SE1,107.0,66.429,20.652
8,46WPU0000000035Q,Letsi,01.01.2017,inf,COMMISSIONED,Hydro Water Reservoir,SE1,487.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,,400.0,46WGU0000000035W,Letsi G1,COMMISSIONED,Hydro Water Reservoir,SE1,146.0,66.502,20.38
9,46WPU0000000035Q,Letsi,01.01.2017,inf,COMMISSIONED,Hydro Water Reservoir,SE1,487.0,"Sweden, Sweden MBA, SvK CA",SE1 BZ / MBA,,400.0,46WGU0000000036U,Letsi G2,COMMISSIONED,Hydro Water Reservoir,SE1,146.0,66.502,20.38
