"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"47W000000000318I","Lisahally","01.01.2017","Infinity","COMMISSIONED","B01","Lisahally","18.00","10Y1001A1001A016","10Y1001A1001A59C","","33.00","47W000000000318I","Lisahally","COMMISSIONED","B01","Lisahally","18.00"
"47W000000000157G","Aughinish Alumnia(Sealrock)","01.01.2015","Infinity","COMMISSIONED","B04","Limerick","170.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000177A","Sealrock 3","COMMISSIONED","B04","Aughinish (Limerick)","85.00"
"47W000000000157G","Aughinish Alumnia(Sealrock)","01.01.2015","Infinity","COMMISSIONED","B04","Limerick","170.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000001788","Sealrock 4","COMMISSIONED","B04","Aughinish (Limerick)","85.00"
"47W000000000158E","Whitegate Prod","23.12.2014","Infinity","COMMISSIONED","B04","Cork","435.00","10YIE-1001A00010","10Y1001A1001A59C","","220.00","47W0000000001040","Whitegate Unit 1","COMMISSIONED","B04","Cork","435.00"
"47W000000000159C","Edenderry Prod","23.12.2014","Infinity","COMMISSIONED","B08","Offaly","118.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000086D","Edenderry Unit 1","COMMISSIONED","B08","Offaly","118.00"
"47W000000000153O","Ballylumford B Station","23.12.2014","Infinity","COMMISSIONED","B04","Ballylumford","217.00","10Y1001A1001A016","10Y1001A1001A59C","","220.00","47W000000000108T","Ballylumford Unit 10","COMMISSIONED","B04","Ballylumford","101.00"
"47W000000000153O","Ballylumford B Station","23.12.2014","Infinity","COMMISSIONED","B04","Ballylumford","217.00","10Y1001A1001A016","10Y1001A1001A59C","","220.00","47W0000000001105","Ballylumford unit 5","DECOMMISSIONED","B04","Ballylumford","170.00"
"47W000000000153O","Ballylumford B Station","23.12.2014","Infinity","COMMISSIONED","B04","Ballylumford","217.00","10Y1001A1001A016","10Y1001A1001A59C","","220.00","47W0000000001113","Ballylumford Unit 4","DECOMMISSIONED","B04","Ballylumford","170.00"
"47W000000000153O","Ballylumford B Station","23.12.2014","Infinity","COMMISSIONED","B04","Ballylumford","217.00","10Y1001A1001A016","10Y1001A1001A59C","","220.00","47W000000000109R","Ballylumford Unit 6","DECOMMISSIONED","B04","Ballylumford","170.00"
"47W000000000153O","Ballylumford B Station","23.12.2014","Infinity","COMMISSIONED","B04","Ballylumford","217.00","10Y1001A1001A016","10Y1001A1001A59C","","220.00","47W000000000221X","Ballylumford GT2","COMMISSIONED","B06","Ballylumford","58.00"
"47W000000000153O","Ballylumford B Station","23.12.2014","Infinity","COMMISSIONED","B04","Ballylumford","217.00","10Y1001A1001A016","10Y1001A1001A59C","","220.00","47W000000000220Z","Ballylumford GT1","COMMISSIONED","B06","Ballylumford","58.00"
"47W000000000154M","Ballylumford C Station","23.12.2014","Infinity","COMMISSIONED","B04","Ballylumford","494.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000106X","Ballylumford CCGT Unit 31","COMMISSIONED","B04","Ballylumford","247.00"
"47W000000000154M","Ballylumford C Station","23.12.2014","Infinity","COMMISSIONED","B04","Ballylumford","494.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000107V","Ballylumford CCGT Unit 32","COMMISSIONED","B04","Ballylumford","247.00"
"47W000000000155K","Coolkeeragh","23.12.2014","Infinity","COMMISSIONED","B04","Coolkeeragh","467.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000105Z","Coolkeeragh CCGT","COMMISSIONED","B04","Coolkeeragh","414.00"
"47W000000000155K","Coolkeeragh","23.12.2014","Infinity","COMMISSIONED","B04","Coolkeeragh","467.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000219K","Coolkeeragh CGT8","COMMISSIONED","B06","Coolkeeragh","53.00"
"47W000000000156I","Kilroot","23.12.2014","Infinity","COMMISSIONED","B04","Coolkeeragh","655.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000114Y","Kilroot K2","COMMISSIONED","B04","Kilroot","258.00"
"47W000000000156I","Kilroot","23.12.2014","Infinity","COMMISSIONED","B04","Coolkeeragh","655.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W0000000001121","Kilroot K1","COMMISSIONED","B04","Kilroot","255.00"
"47W000000000156I","Kilroot","23.12.2014","Infinity","COMMISSIONED","B04","Coolkeeragh","655.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000222V","Kilroot KGT3","COMMISSIONED","B06","Kilroot","42.00"
"47W000000000156I","Kilroot","23.12.2014","Infinity","COMMISSIONED","B04","Coolkeeragh","655.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000223T","Kilroot KGT4","COMMISSIONED","B06","Kilroot","42.00"
"47W000000000156I","Kilroot","23.12.2014","Infinity","COMMISSIONED","B04","Coolkeeragh","655.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000224R","Kilroot KGT1","COMMISSIONED","B06","Kilroot","29.00"
"47W000000000156I","Kilroot","23.12.2014","Infinity","COMMISSIONED","B04","Coolkeeragh","655.00","10Y1001A1001A016","10Y1001A1001A59C","","275.00","47W000000000225P","Kilroot KGT2","COMMISSIONED","B06","Kilroot","29.00"
"47W0000000003853","Dublin Waste to Energy","01.01.2016","Infinity","COMMISSIONED","B17","Dublin","62.00","10YIE-1001A00010","10Y1001A1001A59C","","220.00","47W0000000003845","Dublin Waste to Energy","COMMISSIONED","B17","Dublin","62.00"
"47W000000000239E","Cushaling Production","23.12.2014","Infinity","COMMISSIONED","B04","Offaly","112.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000216Q","Cushaling Unit 1","COMMISSIONED","B04","Offaly","56.00"
"47W000000000239E","Cushaling Production","23.12.2014","Infinity","COMMISSIONED","B04","Offaly","112.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000217O","Cushaling Unit 2","COMMISSIONED","B04","Offaly","56.00"
"47W000000000234O","LEE Production","23.12.2014","Infinity","COMMISSIONED","B11","Cork","27.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000001974","LEE UNIT 3","COMMISSIONED","B11","Cork","8.00"
"47W000000000234O","LEE Production","23.12.2014","Infinity","COMMISSIONED","B11","Cork","27.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000001958","LEE UNIT 1","COMMISSIONED","B11","Cork","15.00"
"47W000000000234O","LEE Production","23.12.2014","Infinity","COMMISSIONED","B11","Cork","27.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000001966","LEE UNIT 2","COMMISSIONED","B11","Cork","4.00"
"47W000000000235M","Curraghmore Hydro Plant","23.12.2014","Infinity","DECOMMISSIONED","B11","Waterford","4.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000002020","Curraghmore Hydro Plant","DECOMMISSIONED","B11","Waterford","4.00"
"47W000000000230W","Ardnacrucha Production Unit","23.12.2014","Infinity","COMMISSIONED","B11","Clare","86.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000185B","Ardnacrusha Unit 4","COMMISSIONED","B11","Clare","24.00"
"47W000000000230W","Ardnacrucha Production Unit","23.12.2014","Infinity","COMMISSIONED","B11","Clare","86.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000182H","Ardnacrusha Unit 1","COMMISSIONED","B11","Clare","21.00"
"47W000000000230W","Ardnacrucha Production Unit","23.12.2014","Infinity","COMMISSIONED","B11","Clare","86.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000183F","Ardnacrusha Unit 2","COMMISSIONED","B11","Clare","22.00"
"47W000000000230W","Ardnacrucha Production Unit","23.12.2014","Infinity","COMMISSIONED","B11","Clare","86.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000184D","Ardnacrusha Unit 3","COMMISSIONED","B11","Clare","19.00"
"47W000000000231U","ERNE Production","23.12.2014","Infinity","COMMISSIONED","B11","Donegal","64.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000001869","ERNE UNIT 1","COMMISSIONED","B11","Donegal","10.00"
"47W000000000231U","ERNE Production","23.12.2014","Infinity","COMMISSIONED","B11","Donegal","64.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000001877","ERNE UNIT 2","COMMISSIONED","B11","Donegal","10.00"
"47W000000000231U","ERNE Production","23.12.2014","Infinity","COMMISSIONED","B11","Donegal","64.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000001885","ERNE UNIT 3","COMMISSIONED","B11","Donegal","22.00"
"47W000000000231U","ERNE Production","23.12.2014","Infinity","COMMISSIONED","B11","Donegal","64.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W0000000001893","ERNE UNIT 4","COMMISSIONED","B11","Donegal","22.00"
"47W000000000232S","Lanesboro Production","23.12.2014","Infinity","COMMISSIONED","B08","Offaly","91.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000190I","Lanesboro","COMMISSIONED","B08","Offaly","91.00"
"47W000000000233Q","Liffey Production","23.12.2014","Infinity","COMMISSIONED","B11","Liffey","38.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000193C","Liffey Unit 4","COMMISSIONED","B11","Liffey","4.00"
"47W000000000233Q","Liffey Production","23.12.2014","Infinity","COMMISSIONED","B11","Liffey","38.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000194A","Liffey Unit 5","COMMISSIONED","B11","Liffey","4.00"
"47W000000000233Q","Liffey Production","23.12.2014","Infinity","COMMISSIONED","B11","Liffey","38.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000191G","Liffey Unit 1","COMMISSIONED","B11","Liffey","15.00"
"47W000000000233Q","Liffey Production","23.12.2014","Infinity","COMMISSIONED","B11","Liffey","38.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000192E","Liffey Unit 2","COMMISSIONED","B11","Liffey","15.00"
"47W000000000242P","Knockmore Hill AGU Production","23.12.2014","Infinity","COMMISSIONED","B04","County Antrim","12.00","10Y1001A1001A016","10Y1001A1001A59C","","33.00","47W000000000227L","Knockmore Hill AGU","COMMISSIONED","B04","Antrim","12.00"
"47W000000000243N","iPower Solutions Limited","01.11.2014","Infinity","COMMISSIONED","B06","County Antrim","74.00","10Y1001A1001A016","10Y1001A1001A59C","","33.00","47W000000000228J","iPower Solutions ltd","COMMISSIONED","B06","County Antrim","74.00"
"47W000000000244L","Empower Generation Limited","01.12.2014","Infinity","COMMISSIONED","B06","County Down","3.00","10Y1001A1001A016","10Y1001A1001A59C","","33.00","47W000000000229H","EmPower Generation Limited","COMMISSIONED","B06","County Down","3.00"
"47W000000000240T","Indaver Production","23.12.2014","Infinity","COMMISSIONED","B09","Dublin (Poolbeg)","15.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000218M","Indaver","COMMISSIONED","B09","Dublin (Poolbeg)","15.00"
"47W000000000241R","Knockmore Hill","23.12.2014","Infinity","COMMISSIONED","B04","County Antrim","3.00","10Y1001A1001A016","10Y1001A1001A59C","","33.00","47W000000000226N","Knockmore Hill","COMMISSIONED","B04","County Antrim","3.00"
"47W0000000001699","Turlough Hill","23.12.2014","Infinity","COMMISSIONED","B10","Wicklow","392.00","10YIE-1001A00010","10Y1001A1001A59C","","220.00","47W0000000002004","Turlough Hill Unit 3","COMMISSIONED","B10","Wicklow","73.00"
"47W0000000001699","Turlough Hill","23.12.2014","Infinity","COMMISSIONED","B10","Wicklow","392.00","10YIE-1001A00010","10Y1001A1001A59C","","220.00","47W0000000002012","Turlough Hill Unit 4","COMMISSIONED","B10","Wicklow","73.00"
"47W0000000001699","Turlough Hill","23.12.2014","Infinity","COMMISSIONED","B10","Wicklow","392.00","10YIE-1001A00010","10Y1001A1001A59C","","220.00","47W0000000001982","Turlough Hill Unit 1","COMMISSIONED","B10","Wicklow","73.00"
"47W0000000001699","Turlough Hill","23.12.2014","Infinity","COMMISSIONED","B10","Wicklow","392.00","10YIE-1001A00010","10Y1001A1001A59C","","220.00","47W0000000001990","Turlough Hill Unit 2","COMMISSIONED","B10","Wicklow","73.00"
"47W000000000165H","Marina Production","23.12.2014","Infinity","DECOMMISSIONED","B04","Cork","95.00","10YIE-1001A00010","10Y1001A1001A59C","","110.00","47W000000000152Q","Marina CCGT Unit","DECOMMISSIONED","B04","Cork","95.00"
"47W000000000166F","Moneypoint Production","23.12.2014","Infinity","COMMISSIONED","B05","Clare","855.00","10YIE-1001A00010","10Y1001A1001A59C","","400.00","47W000000000090M","Moneypoint Unit 3","COMMISSIONED","B05","Clare","285.00"
"47W000000000166F","Moneypoint Production","23.12.2014","Infinity","COMMISSIONED","B05","Clare","855.00","10YIE-1001A00010","10Y1001A1001A59C","","400.00","47W0000000000889","Moneypoint Unit 1","COMMISSIONED","B05","Clare","285.00"
