"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"26WIMPI-S05LROES","LOREO","31.12.2014","Infinity","COMMISSIONED","B16","005029030","12.00","10YIT-GRTN-----B","10Y1001A1001A73I","05.01.2015","132.00","26WUUUUUULOREO1I","UP_LOREO_1","COMMISSIONED","B16","005029030","12.00"
"26WIMPI-S03GRGNY","GARGNANO","31.12.2019","Infinity","COMMISSIONED","B10","003017076","137.00","10YIT-GRTN-----B","10Y1001A1001A73I","20.12.2019","220.00","26WUUUGARGNANO18","UP_GARGNANO_1","COMMISSIONED","B10","003017076","137.00"
"26WIMPI-S09NMVNC","NUOVA MONTEROTONDO","31.12.2014","Infinity","COMMISSIONED","B09","009053027","11.00","10YIT-GRTN-----B","10Y1001A1001A70O","05.01.2015","132.00","26WUUNUOVA-MON1N","UP_NUOVA_MON_1","COMMISSIONED","B09","009053027","11.00"
"26WIMPI-S08CB2NJ","C.LE FERRARA CASSANA","21.12.2018","Infinity","COMMISSIONED","B20","008038008","13.00","10YIT-GRTN-----B","10Y1001A1001A73I","21.12.2018","132.00","26WUCLFRRRCSSN1P","UP_CLFRRRCSSN_1","COMMISSIONED","B20","008038008","13.00"
"26WIMPI-S16SDVRQ","SERRA DEL VENTO NORD","02.01.2020","Infinity","COMMISSIONED","B19","016071052","12.00","10YIT-GRTN-----B","10Y1001A1001A788","02.01.2020","150.00","26WUSRRDLVNTNR1Q","UP_SRRDLVNTNR_1","COMMISSIONED","B19","016071052","12.00"
"26WIMPI-S05SNRV3","SORIO NUOVA","13.01.2017","Infinity","COMMISSIONED","B11","005023091","15.00","10YIT-GRTN-----B","10Y1001A1001A73I","13.01.2017","20.00","26WUUSORIO-NUO2A","UP_SORIO_NUO_2","COMMISSIONED","B11","005023091","15.00"
"26WIMPI-S20PLGHT","PLOAGHE NULVI","31.12.2014","Infinity","COMMISSIONED","B19","020090057","43.00","10YIT-GRTN-----B","10Y1001A1001A74G","05.01.2015","150.00","26WUSSNPLOAGHE1H","UP_SSNPLOAGHE_1","COMMISSIONED","B19","020090057","43.00"
"26WIMPI-S04PRDZ5","PREDAZZO","31.12.2014","Infinity","COMMISSIONED","B11","004022147","15.00","10YIT-GRTN-----B","10Y1001A1001A73I","05.01.2015","132.00","26WUUUPREDAZZO1H","UP_PREDAZZO_1","COMMISSIONED","B11","004022147","15.00"
"26WIMPI-S09LPRTA","LE PRATA","31.12.2014","Infinity","COMMISSIONED","B09","009050011","20.00","10YIT-GRTN-----B","10Y1001A1001A70O","05.01.2015","132.00","26WUUULE-PRATA13","UP_LE_PRATA_1","COMMISSIONED","B09","009050011","20.00"
"26WIMPI-S15BSSN0","BUSSENTO","31.12.2014","Infinity","COMMISSIONED","B11","015065077","60.00","10YIT-GRTN-----B","10Y1001A1001A71M","05.01.2015","150.00","26WUUUBUSSENTO1A","UP_BUSSENTO_1","COMMISSIONED","B11","015065077","60.00"
"26WIMPI-S09NMVLG","NUOVA MOLINETTO","31.12.2014","Infinity","COMMISSIONED","B09","009050011","18.00","10YIT-GRTN-----B","10Y1001A1001A70O","05.01.2015","132.00","26WUUNUOVA-MOL1T","UP_NUOVA_MOL_1","COMMISSIONED","B09","009050011","18.00"
"26WIMPI-S01CDRGT","COGENERAZIONE DI RIVOLI CENTO","01.05.2018","Infinity","COMMISSIONED","B04","001001219","18.00","10YIT-GRTN-----B","10Y1001A1001A73I","01.05.2018","20.00","26WUCGNRZNDRVL1V","UP_CGNRZNDRVL_1","COMMISSIONED","B04","001001219","18.00"
"26WIMPI-1091847Q","Porto Torres FV 31","30.11.2019","Infinity","COMMISSIONED","B16","020090058","31.00","10YIT-GRTN-----B","10Y1001A1001A74G","","15.00","26WUPRTTRRSFV111","UP_PRTTRRSFV1_1","COMMISSIONED","B16","020090058","31.00"
"26WIMPI-S07GTNV2","GENOVA T.","17.05.2017","Infinity","DECOMMISSIONED","B20","007010025","0.00","10YIT-GRTN-----B","10Y1001A1001A73I","","132.00","26WUUUGENOVA-T68","UP_GENOVA_T_6","DECOMMISSIONED","B20","007010025","136.00"
