"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"50WP00000000384S","Kvandal","05.12.2016","Infinity","DECOMMISSIONED","B11","Kvandal","0.40","10YNO-0--------C","10YNO-4--------9","26.06.2015","2.00","50WG000000008975","Kvandal G101 Hydro","DECOMMISSIONED","B11","50WP00000000384S","0.40"
"50WP00000000384S","Kvandal","05.12.2016","Infinity","DECOMMISSIONED","B11","Kvandal","0.40","10YNO-0--------C","10YNO-4--------9","26.06.2015","2.00","50WG000000008967","Kvandal Ng1 Therm","DECOMMISSIONED","B11","Kvandal","0.00"
"50WP000000002528","Haugfoss","05.12.2016","Infinity","DECOMMISSIONED","B12","Haugfoss","3.60","10YNO-0--------C","10YNO-1--------2","26.06.2015","60.00","50WG00000000637V","Haugfossg1 Hydro","DECOMMISSIONED","B12","50WP000000002528","3.60"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006073","Haugen G130 Hydro","DECOMMISSIONED","B11","50WP00000000251A","0.20"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006081","Haugen G110 Hydro","DECOMMISSIONED","B11","50WP00000000251A","0.10"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006065","Haugen G132 Hydro","DECOMMISSIONED","B11","50WP00000000251A","0.60"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG00000000629U","Haugen G131 Hydro","DECOMMISSIONED","B11","50WP00000000251A","2.10"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG00000000628W","Haugen G124 Hydro","DECOMMISSIONED","B11","50WP00000000251A","2.60"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG00000000627Y","Haugen G105 Hydro","DECOMMISSIONED","B11","50WP00000000251A","0.10"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006251","Haugen G111 Hydro","DECOMMISSIONED","B11","50WP00000000251A","1.30"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006243","Haugen G106 Hydro","DECOMMISSIONED","B11","50WP00000000251A","0.10"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006235","Haugen G108 Hydro","DECOMMISSIONED","B11","50WP00000000251A","3.10"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006227","Haugen G113 Hydro","DECOMMISSIONED","B11","50WP00000000251A","2.90"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006219","Haugen G115 Hydro","DECOMMISSIONED","B11","50WP00000000251A","0.80"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006324","Haugen G121 Hydro","DECOMMISSIONED","B11","50WP00000000251A","0.40"
"50WP00000000251A","Haugen","05.12.2016","Infinity","DECOMMISSIONED","B11","Haugen","32.90","10YNO-0--------C","10YNO-3--------J","26.06.2015","2.00","50WG000000006316","Haugen G101 Hydro","DECOMMISSIONED","B11","50WP00000000251A","1.90"
