"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"17W100P100P01792","BLAYAIS 3","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","910.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0094A","BLAYAIS 3","COMMISSIONED","B14","FRANCE","910.00"
"17W100P100P01784","BLAYAIS 2","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","910.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0093C","BLAYAIS 2","COMMISSIONED","B14","FRANCE","910.00"
"17W100P100P01776","BLAYAIS 1","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","910.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0092E","BLAYAIS 1","COMMISSIONED","B14","FRANCE","910.00"
"17W000000989065O","FR_CPCU SAINT OUEN","04.02.2021","Infinity","COMMISSIONED","B04","France","126.00","10YFR-RTE------C","10YFR-RTE------C","03.02.2021","225.00","","","","","",""
"17W100P100P0228F","ST ALBAN 2","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1335.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0146H","ST ALBAN 2","COMMISSIONED","B14","FRANCE","1335.00"
"17W100P100P0227H","ST ALBAN 1","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1335.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0145J","ST ALBAN 1","COMMISSIONED","B14","FRANCE","1335.00"
"17W100P100P0226J","PENLY 2","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1330.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0144L","PENLY 2","COMMISSIONED","B14","FRANCE","1330.00"
"17W100P100P0225L","PENLY 1","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1330.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0143N","PENLY 1","COMMISSIONED","B14","FRANCE","1330.00"
"17W100P100P0229D","ST LAURENT 1","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","915.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0147F","ST LAURENT 1","COMMISSIONED","B14","FRANCE","915.00"
"17W000000989066M","FR_CPCU COGEVITRY","04.02.2021","Infinity","COMMISSIONED","B04","France","125.00","10YFR-RTE------C","10YFR-RTE------C","03.02.2021","225.00","","","","","",""
"17W100P100P0353C","AMFARD15","01.01.2018","Infinity","COMMISSIONED","B04","France","130.00","10YFR-RTE------C","10YFR-RTE------C","04.12.2017","225.00","17W100P100P03485","AMFARD15","COMMISSIONED","B04","France","120.00"
"17W100P100P0352E","CYCOFOS TV2","01.09.2009","Infinity","COMMISSIONED","B20","France","62.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","225.00","17W100P100P03396","CYCOFOS PL2","COMMISSIONED","B20","France","62.00"
"17W100P100P0351G","CYCOFOS","01.09.2009","Infinity","COMMISSIONED","B04","France","428.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","225.00","17W100P100P03388","CYCOFOS PL1","COMMISSIONED","B04","France","428.00"
"17W100P100P0350I","DK6","21.05.2005","Infinity","COMMISSIONED","B04","France","796.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","225.00","17W100P100P0333I","DK6-TV2","COMMISSIONED","B04","France","231.00"
"17W100P100P0350I","DK6","21.05.2005","Infinity","COMMISSIONED","B04","France","796.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","225.00","17W100P100P0332K","DK6-TG2","COMMISSIONED","B04","France","167.00"
"17W100P100P0350I","DK6","21.05.2005","Infinity","COMMISSIONED","B04","France","796.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","225.00","17W100P100P0330O","DK6-TG1","COMMISSIONED","B04","France","167.00"
"17W100P100P0350I","DK6","21.05.2005","Infinity","COMMISSIONED","B04","France","796.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","225.00","17W100P100P0331M","DK6-TV1","COMMISSIONED","B04","France","231.00"
"17W100P100P0224N","PALUEL 4","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1330.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0142P","PALUEL 4","COMMISSIONED","B14","FRANCE","1330.00"
"17W100P100P0222R","PALUEL 2","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1330.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0140T","PALUEL 2","COMMISSIONED","B14","FRANCE","1330.00"
"17W100P100P0223P","PALUEL 3","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1330.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0141R","PALUEL 3","COMMISSIONED","B14","FRANCE","1330.00"
"17W100P100P03558","EMILE HUCHET 5","01.01.2016","Infinity","DECOMMISSIONED","B05","France","285.00","10YFR-RTE------C","10YFR-RTE------C","","225.00","17W100P100P00032","EMILE HUCHET 5","DECOMMISSIONED","B05","France","285.00"
"17W100P100P0221T","PALUEL 1","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1330.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0139E","PALUEL 1","COMMISSIONED","B14","FRANCE","1330.00"
"17W100P100P0220V","NOGENT 2","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1310.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0138G","NOGENT 2","COMMISSIONED","B14","FRANCE","1310.00"
"17W100P100P0354A","LUCY 3","01.01.2016","Infinity","DECOMMISSIONED","B05","France","245.00","10YFR-RTE------C","10YFR-RTE------C","","225.00","17W100P100P0007V","LUCY 3","DECOMMISSIONED","B05","France","245.00"
"17W100P100P01873","CATTENOM 1","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1300.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P01012","CATTENOM 1","COMMISSIONED","B14","FRANCE","1300.00"
"17W100P100P01865","BELLEVILLE 2","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1310.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0091G","BELLEVILLE 2","COMMISSIONED","B14","FRANCE","1310.00"
"17W100P100P01857","BELLEVILLE 1","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1310.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0090I","BELLEVILLE 1","COMMISSIONED","B14","FRANCE","1310.00"
"17W100P100P01849","BUGEY 5","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","880.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P01004","BUGEY 5","COMMISSIONED","B14","FRANCE","880.00"
"17W100P100P01881","CATTENOM 2","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","1300.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P0103Z","CATTENOM 2","COMMISSIONED","B14","FRANCE","1300.00"
"17W100P100P0183B","BUGEY 4","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","880.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P00982","BUGEY 4","COMMISSIONED","B14","FRANCE","880.00"
"17W100P100P0182D","BUGEY 3","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","910.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P00974","BUGEY 3","COMMISSIONED","B14","FRANCE","910.00"
"17W100P100P0180H","BLAYAIS 4","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","910.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P00958","BLAYAIS 4","COMMISSIONED","B14","FRANCE","910.00"
"17W100P100P0181F","BUGEY 2","01.01.2000","Infinity","COMMISSIONED","B14","FRANCE","910.00","10YFR-RTE------C","10YFR-RTE------C","16.12.2014","400.00","17W100P100P00966","BUGEY 2","COMMISSIONED","B14","FRANCE","910.00"
