"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"15WKABKPV----PPY","KABKPV","01.09.2020","Infinity","COMMISSIONED","B16","Kaba","6.50","10YHU-MAVIR----U","10YHU-MAVIR----U","","22.00","15WKABKPVG1--PV2","KABKPV_gép1","COMMISSIONED","B16","Kaba","6.50"
"15WPECS------PPO","Pécsi Erőmű","31.12.2013","Infinity","COMMISSIONED","B01","Pécs","61.80","10YHU-MAVIR----U","10YHU-MAVIR----U","","120.00","15WPECSG3----ST7","Pécs_gép3","COMMISSIONED","B01","Pécs","30.90"
"15WPECS------PPO","Pécsi Erőmű","31.12.2013","Infinity","COMMISSIONED","B01","Pécs","61.80","10YHU-MAVIR----U","10YHU-MAVIR----U","","120.00","15WPECSG4---ST-E","Pécs_gép4","COMMISSIONED","B01","Pécs","30.90"
"15WPECS------PPO","Pécsi Erőmű","31.12.2013","Infinity","COMMISSIONED","B01","Pécs","61.80","10YHU-MAVIR----U","10YHU-MAVIR----U","","120.00","15WPECSG2----GTE","Pécs_gép2","CANCELLED","B01","Pécs","62.00"
"15WKAPKPV----PPS","Kaposvár Keleti naperőmű","11.11.2020","Infinity","COMMISSIONED","B16","Kaposvár Kelet","49.30","10YHU-MAVIR----U","10YHU-MAVIR----U","","132.00","15WKAPKPVG1--PVX","KAPKPV_gép1","COMMISSIONED","B16","Kaposvár Kelet","49.30"
"15WKAPUPV----PP2","Kapuvár naperőmű","01.07.2021","Infinity","CANCELLED","B16","Kapuvár","20.00","10YHU-MAVIR----U","10YHU-MAVIR----U","","20.00","15WKAPUPVG1--PV7","KAPUPV_gép1","CANCELLED","B16","Kapuvár","20.00"
"15WMVMSZK----PPY","MVM szabályozási központ","13.12.2018","Infinity","COMMISSIONED","B04","Budapest","140.20","10YHU-MAVIR----U","10YHU-MAVIR----U","","20.00","15WMIFU-----MVM6","MISKOLC_gép2","COMMISSIONED","B04","Budapest","19.50"
"15WMVMSZK----PPY","MVM szabályozási központ","13.12.2018","Infinity","COMMISSIONED","B04","Budapest","140.20","10YHU-MAVIR----U","10YHU-MAVIR----U","","20.00","15WEBUDA123-MVM2","ÉB_GT123","COMMISSIONED","B04","Budapest","50.00"
"15WMVMSZK----PPY","MVM szabályozási központ","13.12.2018","Infinity","COMMISSIONED","B04","Budapest","140.20","10YHU-MAVIR----U","10YHU-MAVIR----U","","20.00","15WMKCECCGT-MVMP","MISKOLC_gép1","COMMISSIONED","B04","Budapest","39.60"
"15WMVMSZK----PPY","MVM szabályozási központ","13.12.2018","Infinity","COMMISSIONED","B04","Budapest","140.20","10YHU-MAVIR----U","10YHU-MAVIR----U","","20.00","15WMVMSUM---VPP9","MVMSUM","COMMISSIONED","B04","Budapest","31.10"
